mu, xxx, xxy, xxz, xyx, xyy, xyz, xzx, xzy, xzz, yxx, yxy, yxz, yyx, yyy, yyz, yzx, yzy, yzz, zxx, zxy, zxz, zyx, zyy, zyz, zzx, zzy, zzz
-8.000000e-02, 1.297115e-13, -1.716238e-13, 8.955860e-14, -1.113344e-13, -2.062782e-13, 5.782880e-13, 2.975950e-15, 3.506662e-14, 1.480822e-13, -6.145859e-14, 2.051338e-13, 7.130314e-13, 1.814685e-13, 8.737835e-14, -3.318888e-13, -2.225759e-15, -1.935673e-14, -5.476972e-14, 3.437141e-15, 8.296325e-14, -3.875006e-17, 5.229296e-14, -1.745963e-14, 2.268298e-14, 2.173346e-14, -5.860293e-15, -1.985772e-14
-7.848101e-02, -5.926559e-14, -1.474426e-13, 1.123256e-13, -2.745603e-13, -3.574335e-14, 5.232812e-13, -1.852241e-14, 2.857477e-14, 1.837836e-13, 2.975304e-14, -1.461767e-13, 7.212085e-13, -1.063504e-13, 1.968147e-13, -4.509466e-13, 3.721613e-15, 2.943898e-16, -6.780427e-14, 1.060845e-14, -6.694673e-15, 4.354713e-14, -2.742989e-14, -2.441938e-14, 1.735651e-14, 1.629927e-14, -1.149106e-15, 1.273351e-14
-7.696203e-02, 3.042140e-13, -2.296702e-13, 6.963955e-14, -1.764054e-13, -3.309083e-13, 4.156574e-13, -1.411875e-14, 4.992690e-14, 1.096891e-13, -1.261008e-14, -2.457741e-13, 8.521783e-13, -2.096856e-13, 1.902795e-13, -5.231206e-13, -9.227432e-15, 7.054776e-15, -1.078557e-13, -2.848816e-15, 3.689635e-14, 3.834271e-14, -2.006201e-15, -4.403394e-15, 3.092029e-15, 8.970448e-15, -2.752470e-15, -6.799890e-14
-7.544304e-02, 1.000805e-13, 7.032430e-14, 5.400822e-14, 7.741190e-14, -1.301823e-13, 3.709716e-13, 9.573966e-15, 3.886089e-14, 7.048690e-14, -4.452323e-14, -2.113393e-13, 9.025416e-13, -1.512519e-13, 1.191419e-13, -3.126745e-13, -1.625543e-14, -4.273082e-15, -3.666068e-14, 2.772008e-14, 8.748099e-14, 8.532394e-15, 8.691903e-14, -3.379386e-14, -2.638805e-14, 1.223637e-14, 1.905173e-15, -2.945522e-14
-7.392405e-02, 1.278789e-13, -7.506954e-14, 1.060678e-13, -7.017017e-14, -2.077642e-13, 4.373404e-13, -6.476472e-15, 4.020019e-14, 1.141589e-13, -4.767522e-14, -4.873623e-14, 6.776828e-13, 5.854479e-14, 1.910778e-13, -4.806301e-13, 5.235142e-15, 3.161177e-15, -7.020039e-14, 7.202544e-16, -1.211901e-16, 1.530221e-14, 5.491353e-15, 2.516042e-14, 1.581095e-14, 1.468777e-14, 2.179798e-15, -1.044531e-14
-7.240506e-02, 1.341582e-13, 8.083043e-14, 1.466140e-13, 3.458739e-14, -2.195777e-13, 4.146024e-13, -9.154999e-15, 3.569158e-14, 9.840760e-14, 8.761744e-14, -6.904129e-14, 7.128937e-13, -1.155363e-14, 2.155689e-15, -2.688809e-13, 1.138742e-14, -8.131326e-15, -9.712808e-15, -6.689071e-15, -7.759678e-15, 4.862236e-15, -3.755961e-14, -8.802805e-15, -1.762091e-15, 8.894738e-15, 2.248547e-15, 1.890027e-14
-7.088608e-02, 1.814015e-13, -6.351793e-14, 3.112079e-14, -2.652682e-14, -2.538577e-13, 4.272347e-13, 7.488219e-15, 2.357564e-14, 1.781565e-13, -1.500058e-13, -4.076689e-14, 6.798943e-13, -9.999734e-14, 1.580771e-13, -2.532653e-13, -1.473450e-14, 5.294356e-15, 7.476073e-14, 1.219549e-14, -6.984532e-14, 1.606215e-14, -8.202907e-14, -1.173573e-14, 3.798402e-15, 9.690599e-15, 3.786889e-15, 2.329746e-14
-6.936709e-02, 1.908824e-13, 7.067582e-14, 8.256546e-14, 6.688150e-14, -1.896195e-13, 3.597346e-13, -1.222184e-14, 2.277268e-14, 8.488631e-14, -1.294299e-14, -3.954407e-13, 7.597073e-13, -2.985635e-13, 1.059120e-13, -2.838633e-13, -1.275296e-14, -5.167248e-15, 7.485831e-15, 2.872161e-14, 2.194788e-14, -2.757548e-15, -6.409460e-15, -2.914813e-14, 1.990741e-14, 1.265100e-14, 6.235099e-16, -1.123787e-14
-6.784810e-02, 1.701652e-13, -6.448545e-14, 7.385362e-14, -8.762715e-14, -1.539444e-13, 4.687711e-13, 7.547655e-15, 1.717048e-14, 6.769426e-14, -1.696974e-13, -5.963047e-14, 6.352984e-13, -2.654941e-14, 2.444973e-13, -2.746460e-13, -7.577403e-15, -6.516532e-15, -2.645224e-14, -1.330397e-14, 1.173075e-14, -1.009931e-14, -1.349672e-14, -1.093872e-14, 6.068934e-15, 1.099558e-14, 1.300653e-15, -3.701955e-15
-6.632911e-02, 2.207083e-14, 1.238609e-13, 6.460443e-14, 3.364508e-14, -1.815886e-14, 4.345718e-13, 5.319472e-15, 9.408323e-15, 7.327844e-14, -1.030501e-13, -2.585998e-17, 6.330967e-13, -2.719332e-15, 1.904122e-13, -2.741640e-13, -1.078165e-14, -1.505912e-14, -5.851117e-14, 1.578880e-14, -5.122824e-15, -2.918108e-15, -8.245642e-15, -3.108282e-14, -5.733496e-15, 1.035488e-14, 2.852355e-17, 9.218496e-15
