mu, xxx, xxy, xxz, xyx, xyy, xyz, xzx, xzy, xzz, yxx, yxy, yxz, yyx, yyy, yyz, yzx, yzy, yzz, zxx, zxy, zxz, zyx, zyy, zyz, zzx, zzy, zzz
-8.000000e-02, -8.770975e+01, -2.970335e+01, 4.802871e+01, -8.830636e+00, 2.222864e+01, -1.268043e+03, -7.942092e+00, 7.447960e+00, 4.045165e+01, 6.633260e+01, 6.422256e+01, 1.392937e+03, 5.914072e+01, 3.119938e+01, -4.279066e+01, -5.741446e+00, 7.488057e+00, -5.625744e+01, 3.292329e+01, 8.463227e+00, -1.814094e+01, -2.225465e+01, -3.364642e+01, 2.328949e+01, 2.536253e+00, 7.555923e+00, 3.807092e-01
-7.899371e-02, 3.603755e+01, -5.114955e-01, 1.006520e+02, 5.420614e+00, 6.629635e+01, -1.734445e+03, -1.067312e+00, -4.660408e+00, -6.292232e+01, -3.848669e+01, -1.227476e+00, 1.638581e+03, -5.966431e-01, -3.794706e+01, -1.063362e+02, -1.650685e+00, 1.001074e+00, 4.663223e+01, -2.987856e+00, 3.420788e+01, 3.049494e+01, 1.339469e+00, 3.887547e+00, -1.440915e+01, -1.621060e+00, 5.339898e+00, -4.760599e-01
-7.798742e-02, -2.081305e+01, -1.323069e+01, 2.894894e+02, 1.752685e+01, 6.940074e+01, -1.569816e+03, 1.173136e+00, 4.729601e+00, -2.675149e+01, -1.392325e+02, 3.648482e+01, 1.634228e+03, 1.874443e+01, -1.168593e+02, -2.905395e+02, -7.496621e+00, -2.535716e+00, 1.618016e+02, -1.798921e+01, 3.637302e+01, -8.522994e+00, -3.202539e-01, 1.520241e+01, -9.376754e+01, 1.486282e+00, 1.376094e+01, 1.157110e+00
-7.698113e-02, -4.423366e+00, 9.877134e+00, -3.870091e+01, -3.382288e+00, 7.691692e+01, -1.590142e+03, 2.024467e-01, 1.772919e+00, -4.135947e+01, -7.246335e+00, 2.523715e+01, 1.540314e+03, 1.700378e+01, 9.824824e+00, 3.928155e+01, -8.403452e+00, -8.221848e-01, -5.023414e+00, -7.242141e+00, 2.794525e+01, 9.040669e+00, 2.840488e+00, 5.570608e+00, 1.440388e+01, 2.739936e+00, -4.455330e+00, 7.207245e-01
-7.597484e-02, -1.154894e+01, 3.194792e+01, -2.587731e+02, 5.878196e-01, 3.782675e+01, -1.726555e+03, 9.562113e+00, -1.694043e+00, -1.460175e+01, 6.824287e+01, 1.367198e+01, 1.752286e+03, 1.088163e+01, 8.159061e+01, 2.505254e+02, -7.729270e+00, -8.282780e+00, -9.941513e+01, -4.364919e+00, 2.031856e+01, 7.337518e+00, -1.569990e+00, 7.650662e+00, 4.746863e+01, 4.553974e+00, -2.460130e+01, -1.509610e+00
-7.496855e-02, -1.664724e+00, -6.454187e+00, -5.125941e+01, -1.163513e+01, 6.005854e+01, -1.584560e+03, -1.313287e+00, 6.449355e+00, -3.723183e+01, 3.719062e+01, 2.777538e+01, 1.415096e+03, 3.703904e+01, 3.209169e+01, 5.516896e+01, -3.952190e+00, 4.436638e-01, -4.295453e+01, 7.885577e+00, 1.630569e+01, 1.679590e+01, -1.493048e+01, -1.004464e+01, 2.724738e+01, -5.568616e+00, -1.018993e+00, 9.718226e-01
-7.396226e-02, 8.092192e+01, -2.369195e+01, 4.078632e+01, -4.308663e+00, 1.583169e+02, -1.657509e+03, -5.561266e+00, 8.621098e+00, -1.564927e+02, 7.370653e+01, 2.534381e+01, 8.593966e+02, 8.391763e+01, 2.640532e+01, -4.212205e+01, 8.785534e-01, 7.224190e+00, -5.784082e+01, 3.400578e+01, 1.213946e+01, 9.993830e+01, -2.450250e+01, -3.096817e+01, 2.076991e+01, -2.515622e+01, 7.074733e+00, -1.292118e+00
-7.295597e-02, -1.076502e+02, 2.132374e+01, -3.195171e+01, 1.966954e+00, 9.051976e+01, -3.289244e+02, 3.249885e+00, 2.303877e+00, 1.157879e+01, -4.335936e+01, 9.768561e+01, 3.704031e+02, 9.408225e+01, -1.187379e+01, 3.165837e+01, -1.660066e+00, -3.920918e+00, 2.907848e+01, -2.086201e+01, 2.436562e+01, -4.966727e+00, -2.662446e+01, 1.960496e+01, -1.444767e+00, 2.733104e+00, -6.612259e+00, 5.256864e-01
-7.194969e-02, -1.053261e+02, -1.065095e+01, 7.327197e+00, 1.304797e+00, 5.998955e+01, -6.545463e+02, 1.098470e+00, -2.110730e+00, 3.556215e+01, 4.392709e+01, 7.021210e+01, 1.051987e+03, 2.860479e+01, 1.458890e+01, -1.347685e+01, -3.663537e+00, 3.853562e-02, -3.468964e+01, 1.776526e+01, 4.301261e+01, -3.631516e+01, 5.116601e-02, -1.445728e+01, 8.588010e+00, 1.542488e+01, 8.902241e-01, -1.501802e+00
-7.094340e-02, -7.141624e+01, -2.111272e+01, 5.817235e+01, -1.592466e-01, 7.504828e+01, -7.299769e+02, 1.165844e+00, -3.506808e+00, 2.516104e+00, 7.088967e+00, 5.149091e+01, 1.013361e+03, 2.483705e+01, -5.638336e+00, -5.686047e+01, -5.832609e+00, -1.570507e+00, 3.206883e+00, 9.781968e+00, 4.318664e+01, -2.687975e+00, 4.614568e+00, -1.114702e+01, -1.949408e+01, 1.314118e+01, 4.449088e+00, 6.086074e-01
-6.993711e-02, -1.289874e+01, 1.635887e+01, -3.197444e+01, 3.627015e+00, 5.204898e+01, -1.445772e+03, 4.099352e+00, 1.281450e-01, -2.165438e+01, -2.337725e+01, 2.433361e+01, 1.416671e+03, 1.757610e+01, -6.839285e+00, 3.825571e+01, -2.935288e+00, -3.554093e+00, 1.594731e+01, -1.376430e+01, 2.675766e+01, 1.234276e+00, -1.036452e+01, 1.407381e+01, -2.483821e+00, 1.694995e+00, -5.613740e+00, -2.537933e-02
-6.893082e-02, -1.664000e+01, 1.540818e+01, -4.613743e+01, 1.425804e+00, 3.774437e+01, -1.550152e+03, 1.268657e+00, -2.942636e-01, -9.939470e+00, -2.065198e+01, 1.689774e+01, 1.664872e+03, -2.474163e-01, 4.856877e+00, 4.707184e+01, -4.500291e+00, -1.736682e+00, 6.428478e+00, -1.193972e+01, 3.059039e+01, -6.133168e+00, -2.718848e-01, 1.057533e+01, 8.813053e-01, 5.299423e+00, -7.003806e+00, 5.968294e-01
-6.792453e-02, -4.917542e+01, -1.966811e+01, 2.847758e+02, 9.617252e+00, 5.714368e+01, -1.063946e+03, -2.125736e+00, -2.634488e+00, -2.341282e+00, -1.046772e+02, 4.670199e+01, 1.178714e+03, 3.189905e+01, -1.031724e+02, -2.808859e+02, -1.948902e+00, 1.643505e+00, 1.328438e+02, -7.470166e+00, 2.850437e+01, -6.918014e+00, -4.342652e+00, 5.563350e+00, -6.043187e+01, 4.524009e+00, 1.858530e+01, 8.791453e-01
-6.691824e-02, -3.910667e+01, -1.341040e+01, -1.000171e+02, -1.449293e+01, -1.949158e+01, -1.848131e+03, -6.224242e+00, 1.278676e+00, 3.719934e+01, 8.000620e+01, 1.305399e+01, 2.043218e+03, 2.913859e+00, 6.384628e+01, 1.005017e+02, -2.203086e+00, 5.448066e+00, -8.656055e+01, 2.031312e+01, 9.172865e+00, -1.760296e+01, -7.096605e+00, -2.212292e+01, 3.274994e+01, 4.791339e+00, -8.058816e-01, 7.833598e-01
-6.591195e-02, -1.171388e+02, -5.046852e+00, 1.070060e+02, 9.160166e+00, 1.797733e+00, -7.537262e+02, -2.856668e+00, 6.821163e-01, 7.619305e+01, -2.618846e+01, 6.753723e+01, 1.057503e+03, 4.390439e+01, -4.519238e+01, -1.090588e+02, -9.136849e-01, 4.515274e+00, 4.809624e+01, 2.225145e+00, 1.362628e+01, -5.224972e+01, -2.103288e+01, 1.371811e+00, -2.792677e+01, 1.041757e+01, 1.024858e+01, -1.571962e+00
-6.490566e-02, 2.464596e+01, -8.339384e+00, 1.135989e-01, -4.691202e-01, 7.484441e+01, -1.628117e+03, -3.473251e+00, -3.217710e+00, -6.104615e+01, 5.643091e+01, 8.831942e+00, 1.463771e+03, 1.498431e+01, 1.780453e+01, -2.307902e+00, -4.453294e+00, 5.299087e+00, -4.418822e+01, 2.123735e+01, 2.195589e+01, 2.818396e+01, 2.319847e+00, -1.662555e+01, 2.249347e+01, -1.214541e+00, 4.255016e+00, -2.019314e+00
-6.389937e-02, -6.165196e+01, -3.950488e+01, 7.774479e+01, -7.437135e+00, 1.079286e+01, -1.036989e+03, -5.526562e+00, 2.236057e+00, 2.760854e+01, 4.084868e+01, 5.561127e+01, 9.766286e+02, 7.413771e+01, 1.782571e+01, -7.691791e+01, -2.266075e+00, 3.956595e+00, -2.911621e+01, 2.675983e+01, -4.737265e-01, -6.180542e+00, -3.319542e+01, -3.041982e+01, -1.178157e+01, -5.983449e+00, 8.775001e+00, 1.591018e+00
-6.289308e-02, -5.435332e+01, -9.952658e+00, -1.639162e+01, -8.662991e+00, -2.879098e+01, -1.553679e+03, -1.629594e+00, 5.582724e-01, 5.601633e+01, 3.036855e+01, 1.706794e+01, 1.860908e+03, -1.074775e+01, 2.145694e+01, 1.574064e+01, 4.461161e-01, 8.908565e-01, -3.188802e+01, 9.013741e+00, 1.243271e+01, -4.266131e+01, -4.326751e+00, -1.046409e+01, 2.062516e+01, 9.007436e+00, 1.396741e+00, 6.164610e-01
-6.188679e-02, -8.476004e+01, -1.105117e+01, 4.098505e+01, 1.911460e+00, 2.740265e+01, -4.227388e+02, -7.586162e-01, 2.424522e+00, 3.384990e+01, 3.141213e+01, 7.184778e+01, 3.917067e+02, 7.992519e+01, -7.590781e-01, -4.106213e+01, 4.974508e+00, 2.162832e+00, -1.637875e+01, 1.558290e+01, 1.747412e+00, -1.433733e+01, -3.576875e+01, -1.210034e+01, 3.025472e+00, -3.686420e+00, 5.107312e+00, -1.508735e+00
