           1           1 ( 0.49999999999999784     ,  0.0000000000000000     )
           1           2 (-2.57973949119182770E-017,-2.56535185368281664E-017)
           1           3 (-0.30591919344745927     , 7.18080027830518055E-007)
           1           4 ( 8.28956667969758532E-002, 0.29498222436464788     )
           1           5 (-9.47972870661934245E-007, 2.42538422342729597E-004)
           1           6 (-1.73206556089876276E-005,-1.32704344775914709E-005)
           1           7 (-0.21253617201591360     ,-8.59035728904996410E-005)
           1           8 ( 1.55964993981895558E-002,-5.16616366676446517E-002)
           1           9 ( 8.96635196645512413E-017, 1.23599047663347675E-017)
           1          10 (-3.46944695195361481E-017, 7.04731412115578344E-018)
           1          11 ( 0.12005488943956041     , 8.34958812142689197E-007)
           1          12 (-5.00735007778811952E-003,-2.26401896635941872E-003)
           1          13 (-2.03830008427274525E-017, 2.01661604082303393E-017)
           1          14 ( 5.74627151417316734E-017, 3.65376132127614933E-017)
           1          15 (-1.94372583868839433E-011, 2.10816445474220024E-007)
           1          16 ( 2.01374963260352843E-005, 8.17097033677862060E-007)
           2           1 (-2.57973949119182770E-017, 2.56535185368281664E-017)
           2           2 ( 0.49999999999999228     ,  0.0000000000000000     )
           2           3 ( 8.28956667969759226E-002,-0.29498222436464716     )
           2           4 ( 0.30591919344745599     , 7.18080028060683800E-007)
           2           5 (-1.73206556085467572E-005, 1.32704344787790314E-005)
           2           6 ( 9.47972869320967693E-007, 2.42538422342440522E-004)
           2           7 ( 1.55964993981902514E-002, 5.16616366676462199E-002)
           2           8 ( 0.21253617201590436     ,-8.59035728912561431E-005)
           2           9 ( 1.32309367940664631E-017, 2.67917568059641177E-017)
           2          10 (-8.11454503631830465E-017, 1.03706135842803504E-017)
           2          11 (-5.00735007778805360E-003, 2.26401896635931290E-003)
           2          12 (-0.12005488943956152     , 8.34958812521017098E-007)
           2          13 (-3.50312927053301837E-017, 2.14827052975816784E-017)
           2          14 ( 7.45003992883248988E-017,-4.33996451585012451E-017)
           2          15 ( 2.01374963261337706E-005,-8.17097032118629940E-007)
           2          16 ( 1.94373638278538818E-011, 2.10816445474269840E-007)
           3           1 (-0.30591919344745927     ,-7.18080027830518055E-007)
           3           2 ( 8.28956667969759226E-002, 0.29498222436464716     )
           3           3 ( 0.50000000000000144     ,  0.0000000000000000     )
           3           4 (-1.38777878078144568E-016,-4.47558656802016230E-016)
           3           5 (-6.09851500136560989E-002, 3.94591030281359056E-003)
