           1           1 ( 5.94628870440560169E-025,  0.0000000000000000     )
           1           2 ( 2.99300557654439286E-025,-2.44624460891943863E-025)
           2           1 ( 2.99300557654439286E-025, 2.44624460891943863E-025)
           2           2 (-5.94628870440560169E-025,  0.0000000000000000     )
           3           3 (-6.86248025040786416E-025,  0.0000000000000000     )
           3           4 (-4.38793276799203651E-025, 4.53977151711290344E-026)
           4           3 (-4.38793276799203651E-025,-4.53977151711290344E-026)
           4           4 ( 6.86248025040786416E-025,  0.0000000000000000     )
           5           5 ( 1.19744059988885023E-023,  0.0000000000000000     )
           5           6 (-5.60405939521698456E-025, 9.57960910238030087E-024)
           6           5 (-5.60405939521698456E-025,-9.57960910238030087E-024)
           6           6 (-1.19744059988885023E-023,  0.0000000000000000     )
           7           7 ( 2.72005454363524658E-023,  0.0000000000000000     )
           7           8 ( 1.17646902106016178E-023, 1.39493208982587298E-023)
           8           7 ( 1.17646902106016178E-023,-1.39493208982587298E-023)
           8           8 (-2.72005454363524658E-023,  0.0000000000000000     )
           9           9 ( 5.25893915864976457E-023,  0.0000000000000000     )
           9          10 (-1.84570525074004039E-021, 4.60030946576928594E-021)
          10           9 (-1.84570525074004039E-021,-4.60030946576928594E-021)
          10          10 (-5.25893915864976457E-023,  0.0000000000000000     )
          11          11 (-4.76392180719780594E-021,  0.0000000000000000     )
          11          12 ( 2.41835110252711130E-022,-1.33317329068202094E-021)
          12          11 ( 2.41835110252711130E-022, 1.33317329068202094E-021)
          12          12 ( 4.76392180719780594E-021,  0.0000000000000000     )
          13          13 (-9.06679731529400266E-023,  0.0000000000000000     )
          13          14 (-3.73989437556358069E-023, 2.62159805272159774E-023)
          14          13 (-3.73989437556358069E-023,-2.62159805272159774E-023)
          14          14 ( 9.06679731529400266E-023,  0.0000000000000000     )
          15          15 ( 1.09474510634788099E-022,  0.0000000000000000     )
          15          16 ( 3.54172625309933006E-023,-3.06826405322381477E-023)
          16          15 ( 3.54172625309933006E-023, 3.06826405322381477E-023)
          16          16 (-1.09474510634788099E-022,  0.0000000000000000     )
