           1           1 ( 1.83942935805534509E-025,  0.0000000000000000     )
           1           2 ( 1.07275343212829513E-041, 7.05284803017446015E-041)
           2           1 ( 1.07275343212829513E-041,-7.05284803017446015E-041)
           2           2 (-1.83942935805534509E-025,  0.0000000000000000     )
           3           3 ( 6.56323425693768642E-030,  0.0000000000000000     )
           3           4 ( 1.11087859137243536E-027, 3.95307021266060535E-027)
           4           3 ( 1.11087859137243536E-027,-3.95307021266060535E-027)
           4           4 (-6.56323425693768642E-030,  0.0000000000000000     )
           5           5 ( 6.51992483209480177E-022,  0.0000000000000000     )
           5           6 (-7.15613662345183451E-023, 9.41624178760746349E-023)
           6           5 (-7.15613662345183451E-023,-9.41624178760746349E-023)
           6           6 (-6.51992483209480177E-022,  0.0000000000000000     )
           7           7 (-6.39636104975932924E-022,  0.0000000000000000     )
           7           8 ( 1.00211420783772463E-022,-3.32424531679854203E-022)
           8           7 ( 1.00211420783772463E-022, 3.32424531679854203E-022)
           8           8 ( 6.39636104975932924E-022,  0.0000000000000000     )
           9           9 (-4.24156955722464046E-023,  0.0000000000000000     )
           9          10 (-1.48590047073685524E-022,-2.23846512148693785E-022)
          10           9 (-1.48590047073685524E-022, 2.23846512148693785E-022)
          10          10 ( 4.24156955722464046E-023,  0.0000000000000000     )
          11          11 ( 1.94945117852721568E-022,  0.0000000000000000     )
          11          12 (-1.62960647538551856E-023,-7.36795222603946188E-024)
          12          11 (-1.62960647538551856E-023, 7.36795222603946188E-024)
          12          12 (-1.94945117852721568E-022,  0.0000000000000000     )
          13          13 (-1.34565731648547600E-022,  0.0000000000000000     )
          13          14 (-4.05074152128322138E-023,-6.05733212571768077E-024)
          14          13 (-4.05074152128322138E-023, 6.05733212571768077E-024)
          14          14 ( 1.34565731648547600E-022,  0.0000000000000000     )
          15          15 (-7.51353265247553376E-023,  0.0000000000000000     )
          15          16 ( 6.35896545299294217E-026,-1.57075299495727054E-024)
          16          15 ( 6.35896545299294217E-026, 1.57075299495727054E-024)
          16          16 ( 7.51353265247553376E-023,  0.0000000000000000     )
