 (  629.77403795996065     ,-3.47887176085317022E-011) (-2.73302273939752853E-010, 7.70886356098145655E-011) ( -6032.7685566701293     , -4687.6619764185180     ) (  590584.07953593042     , -173411.94433175863     ) (  71249.658162826192     , -58432.636538291124     ) (  127162.06291874830     , -30093.675155426416     ) ( -10.424313563095655     , -82.442613226172824     ) ( -24.286784084820471     ,  4.8259901746714746     ) (  23277.951150421344     , -137874.72698470028     ) (  233986.94194852110     , -6451.0822749822628     ) (  313.76505607460228     , -313.26728884016421     ) ( -222.06367867573630     ,  776.80596390818198     ) ( -143.37194582408873     ,  202.21915129872809     ) (-0.42543455427950044     ,  89.593345579834832     ) ( -256842.88483744630     ,  161677.47369235189     ) (  39487.179571124885     ,  209426.68612603011     )
 (-2.73425813419896769E-010,-7.71874671939297146E-011) (  629.77403792514929     , 1.04810894954113271E-010) ( -590584.07952772488     , -173411.94430664097     ) ( -6032.7685563577552     ,  4687.6619765183023     ) ( -127162.06291663258     , -30093.675150296218     ) (  71249.658163147207     ,  58432.636534446043     ) (  24.286784083018180     ,  4.8259901746696956     ) ( -10.424313559782886     ,  82.442613224078912     ) ( -233986.94194307548     , -6451.0822665422174     ) (  23277.951154736635     ,  137874.72698052399     ) (  222.06367868734861     ,  776.80596387834964     ) (  313.76505607789932     ,  313.26728881514094     ) ( 0.42543455691066073     ,  89.593345576323145     ) ( -143.37194582567318     , -202.21915128929081     ) ( -39487.179562787409     ,  209426.68612233910     ) ( -256842.88483690255     , -161677.47367937415     )
 ( -6032.7685566701284     ,  4687.6619764185189     ) ( -590584.07952772477     ,  173411.94430664103     ) ( -673.52131935168040     ,-2.20064993963060396E-011) (-1.90184911698914323E-010, 6.50641262091383586E-011) ( -41.482924248553211     ,  2.0544437173293342     ) (-0.12672703878223221     ,  38.936294306238366     ) ( -114496.98441610187     , -65455.880816795689     ) (  55068.924506794458     , -77423.925759608799     ) (  496.90909945956764     , -20.832822522753737     ) ( -19.511956350007168     ,  341.79699721906320     ) ( -16783.425150421117     ,  9170.8666305458355     ) (  182112.43086712004     ,  55196.236012659829     ) ( -65419.489463498241     , -191427.59780780703     ) (  295976.72379146074     ,  246045.59184039003     ) ( -11.517109911918958     ,  104.36674754850920     ) ( -125.13736020972499     , -51.319738959750325     )
 (  590584.07953593007     ,  173411.94433175854     ) ( -6032.7685563577561     , -4687.6619765183013     ) (-1.90810845064976925E-010,-6.47017437340494959E-011) ( -673.52131935570833     ,-4.42765496835858058E-011) ( 0.12672703846175434     ,  38.936294307517777     ) ( -41.482924248587075     , -2.0544437163621021     ) ( -55068.924506794690     , -77423.925759615275     ) ( -114496.98441609932     ,  65455.880816788616     ) (  19.511956357838056     ,  341.79699721561138     ) (  496.90909945674377     ,  20.832822524038285     ) ( -182112.43086710875     ,  55196.236012659043     ) ( -16783.425150422376     , -9170.8666305464048     ) ( -295976.72379146493     ,  246045.59184042356     ) ( -65419.489463483325     ,  191427.59780780118     ) (  125.13736020985924     , -51.319738960420793     ) ( -11.517109912740972     , -104.36674754974959     )
 (  71249.658162826177     ,  58432.636538291117     ) ( -127162.06291663257     ,  30093.675150296236     ) ( -41.482924248553736     , -2.0544437173245900     ) ( 0.12672703845437491     , -38.936294307506181     ) (  212.06572498674421     ,-2.53008855334776019E-011) ( 6.40955766848099210E-010,-1.02890267836142239E-009) ( -165434.44407194134     , -166698.55187369007     ) (  115629.57548398920     ,  89220.746437171401     ) (  744.43430838097265     , -548.41524828842284     ) (  1055.4496612620237     , -121.95101583038601     ) ( -110847.22492915287     ,  239185.41823841585     ) (  203845.84279656599     , -147802.05247773346     ) (  134834.48151592820     ,  239899.36835319435     ) (  410225.17026537779     ,  327506.03354153881     ) ( -81.797572539451991     , -157.41390884970789     ) (  51.928830271508701     ,  48.937458653328044     )
 (  127162.06291874827     ,  30093.675155426419     ) (  71249.658163147178     , -58432.636534446057     ) (-0.12672703873136690     , -38.936294306241926     ) ( -41.482924248580026     ,  2.0544437163684277     ) ( 6.40955766848099210E-010, 1.02890267836142239E-009) (  212.06572498747374     ,-8.43362851115920064E-012) ( -115629.57548397552     ,  89220.746437324240     ) ( -165434.44407187015     ,  166698.55187391434     ) ( -1055.4496612511864     , -121.95101582515295     ) (  744.43430837932544     ,  548.41524827725675     ) ( -203845.84279679661     , -147802.05247760919     ) ( -110847.22492944104     , -239185.41823845080     ) ( -410225.17026528995     ,  327506.03354212956     ) (  134834.48151575334     , -239899.36835343650     ) ( -51.928830270947863     ,  48.937458654337966     ) ( -81.797572539178958     ,  157.41390885090757     )
 ( -10.424313563108306     ,  82.442613226187589     ) (  24.286784083012250     , -4.8259901746859697     ) ( -114496.98441610187     ,  65455.880816795681     ) ( -55068.924506794698     ,  77423.925759615275     ) ( -165434.44407194134     ,  166698.55187369013     ) ( -115629.57548397551     , -89220.746437324240     ) ( -212.37684700178573     ,-1.68672570223184013E-011) ( 2.36141598312457631E-010, 1.00360179282794485E-009) (  108096.93639936864     ,  326360.62008290249     ) ( -365650.73221535725     ,  33616.207087566108     ) ( -377.88842834957387     ,  457.05939683197300     ) (  116.16379612886283     , -1725.8707557741648     ) (  8.8119118386581512     , -25.475351648805116     ) (  235.35782352782974     ,  152.95883986399645     ) (  263271.49643668206     ,  376153.88634477410     ) (  39448.901636302289     ,  55804.105396020699     )
 ( -24.286784084799390     , -4.8259901746772726     ) ( -10.424313559774651     , -82.442613224117792     ) (  55068.924506794450     ,  77423.925759608785     ) ( -114496.98441609934     , -65455.880816788587     ) (  115629.57548398917     , -89220.746437171401     ) ( -165434.44407187015     , -166698.55187391434     ) ( 2.36141598312457631E-010,-1.06263719240605918E-009) ( -212.37684700382667     ,  0.0000000000000000     ) (  365650.73221535271     ,  33616.207087550822     ) (  108096.93639934632     , -326360.62008287985     ) ( -116.16379611374133     , -1725.8707557677110     ) ( -377.88842835190155     , -457.05939681664069     ) ( -235.35782352967249     ,  152.95883986266395     ) (  8.8119118374416008     ,  25.475351649188848     ) ( -39448.901636308452     ,  55804.105396013838     ) (  263271.49643671280     , -376153.88634471648     )
 (  23277.951150421341     ,  137874.72698470028     ) ( -233986.94194307542     ,  6451.0822665422274     ) (  496.90909945956486     ,  20.832822522772712     ) (  19.511956357842273     , -341.79699721560661     ) (  744.43430838093889     ,  548.41524828837225     ) ( -1055.4496612511864     ,  121.95101582516560     ) (  108096.93639936864     , -326360.62008290249     ) (  365650.73221535276     , -33616.207087550829     ) ( -222.71487970550703     , 4.21681425557960000E-011) ( 8.29869045498065315E-009,-1.39112702291571022E-008) ( -269516.27312779048     , -94064.952601150449     ) (  145689.17050484187     , -324770.12750743935     ) (  81.093198032315968     , -230106.81719041511     ) ( -120538.69381301891     , -143034.92287230486     ) ( -24.600153422265031     , -1198.2773479583764     ) (  390.73065156020562     ,  176.85543886423631     )
 (  233986.94194852104     ,  6451.0822749822628     ) (  23277.951154736616     , -137874.72698052402     ) ( -19.511956349990285     , -341.79699721906820     ) (  496.90909945674906     , -20.832822524088225     ) (  1055.4496612619673     ,  121.95101583038601     ) (  744.43430837931123     , -548.41524827723515     ) ( -365650.73221535719     , -33616.207087566145     ) (  108096.93639934633     ,  326360.62008287996     ) ( 8.30817828705570828E-009, 1.38986197863903631E-008) ( -222.71487973265067     ,-4.84933639391654045E-011) ( -145689.17050483049     , -324770.12750740710     ) ( -269516.27312779822     ,  94064.952601155732     ) (  120538.69381301371     , -143034.92287231536     ) (  81.093198045086581     ,  230106.81719039427     ) ( -390.73065157140968     ,  176.85543885029762     ) ( -24.600153424957469     ,  1198.2773479553571     )
 (  313.76505607459490     ,  313.26728884016211     ) (  222.06367868737127     , -776.80596387835340     ) ( -16783.425150421110     , -9170.8666305458501     ) ( -182112.43086710875     , -55196.236012659072     ) ( -110847.22492915290     , -239185.41823841588     ) ( -203845.84279679661     ,  147802.05247760925     ) ( -377.88842834955278     , -457.05939683195612     ) ( -116.16379611374133     ,  1725.8707557677446     ) ( -269516.27312779048     ,  94064.952601150493     ) ( -145689.17050483052     ,  324770.12750740710     ) (  256.62964675303562     ,-1.68672570223184013E-011) ( 4.57102665304828655E-009,-1.62263012554703010E-008) (  897.72718987203655     , -270.17393405674801     ) ( -61.357721431088123     ,  432.94453559560839     ) ( -63417.270362347779     ,  14504.201381095911     ) (  154060.57407524253     , -329381.26946650440     )
 ( -222.06367867574130     , -776.80596390821472     ) (  313.76505607790989     , -313.26728881512634     ) (  182112.43086712010     , -55196.236012659836     ) ( -16783.425150422383     ,  9170.8666305464376     ) (  203845.84279656602     ,  147802.05247773346     ) ( -110847.22492944106     ,  239185.41823845080     ) (  116.16379612879535     ,  1725.8707557741552     ) ( -377.88842835186779     ,  457.05939681662380     ) (  145689.17050484184     ,  324770.12750743929     ) ( -269516.27312779822     , -94064.952601155746     ) ( 4.49090718219227430E-009, 1.62431685124926220E-008) (  256.62964677851357     , 3.58429211724266019E-011) (  61.357721424455072     ,  432.94453560345585     ) (  897.72718987427356     ,  270.17393404724965     ) ( -154060.57407519620     , -329381.26946655702     ) ( -63417.270362348419     , -14504.201381107901     )
 ( -143.37194582409717     , -202.21915129868381     ) ( 0.42543455687811221     , -89.593345576325916     ) ( -65419.489463498241     ,  191427.59780780692     ) ( -295976.72379146487     , -246045.59184042353     ) (  134834.48151592814     , -239899.36835319427     ) ( -410225.17026529007     , -327506.03354212956     ) (  8.8119118387298379     ,  25.475351648792465     ) ( -235.35782352959237     , -152.95883986269345     ) (  81.093198032301203     ,  230106.81719041514     ) (  120538.69381301361     ,  143034.92287231536     ) (  897.72718987198812     ,  270.17393405675222     ) (  61.357721424493022     , -432.94453560343686     ) ( -69.025940464201057     ,-6.74690280892736051E-011) (-5.56619481736507236E-010, 7.75893823026646472E-010) ( -5638.1735792580630     ,  18041.653141071263     ) ( -273814.81531974085     ,  123995.33557481680     )
 (-0.42543455426684995     , -89.593345579823506     ) ( -143.37194582564709     ,  202.21915128929547     ) (  295976.72379146086     , -246045.59184038997     ) ( -65419.489463483318     , -191427.59780780127     ) (  410225.17026537767     , -327506.03354153875     ) (  134834.48151575334     ,  239899.36835343647     ) (  235.35782352786137     , -152.95883986400699     ) (  8.8119118374605758     , -25.475351649125596     ) ( -120538.69381301886     ,  143034.92287230483     ) (  81.093198045086581     , -230106.81719039433     ) ( -61.357721431189326     , -432.94453559557672     ) (  897.72718987427777     , -270.17393404720536     ) (-5.40806428278083695E-010,-7.67460194515487223E-010) ( -69.025940464554211     ,  0.0000000000000000     ) (  273814.81531970104     ,  123995.33557487266     ) ( -5638.1735792532836     , -18041.653141071405     )
