 (-2.06708051100791805E-012, 3.46318582660346327E-015) (-8.85530993671716116E-011, 2.86611593933925959E-011) ( -194.27779531059034     , -7636.2806361189359     ) (  7287.3030918791928     , -2249.3344247019054     ) (  14.861999319094938     , -20.921935091251083     ) ( -85.198898152274026     , -272.24135985568961     ) ( -36206.860407978973     , -53774.649031551307     ) ( -243932.56676888507     ,  75402.040406870758     ) (  14.424571672015730     ,  25.963150126304203     ) ( -14.917548230756717     , -1.9002195058976354     ) ( -15132.392163238057     ,  13380.168187639298     ) ( -421655.99411843187     ,  130154.68646814373     ) (  79675.394293466874     , -37677.847811226224     ) (  506812.66335841548     , -169.97303774225892     ) ( -25.508868803681924     ,  9.0217955377587913     ) (-8.34995982980742540E-002,-0.27042790619522766     )
 (-8.93253783251799863E-011,-2.83151399928047739E-011) ( 1.39900398009578739E-010,-1.86327341209931016E-016) ( -7287.3030918791410     , -2249.3344247018726     ) ( -194.27779531063871     ,  7636.2806361188641     ) (  85.198898153459183     , -272.24135985571615     ) (  14.861999320205539     ,  20.921935089991130     ) (  243932.56676889322     ,  75402.040406872431     ) ( -36206.860407977132     ,  53774.649031548986     ) (  14.917548230645968     , -1.9002195059184952     ) (  14.424571671818969     , -25.963150126251630     ) (  421655.99411842367     ,  130154.68646813976     ) ( -15132.392163238197     , -13380.168187639245     ) ( -506812.66335841216     , -169.97303774184780     ) (  79675.394293466597     ,  37677.847811226056     ) ( 8.34995984860757851E-002,-0.27042790565528391     ) ( -25.508868803945436     , -9.0217955376046515     )
 ( -194.27779531059014     ,  7636.2806361189369     ) ( -7287.3030918791401     ,  2249.3344247018726     ) (-4.89216341369977053E-012, 5.27101781947450040E-013) (-4.90204657211128511E-011, 4.54625286929675687E-012) (  5981.2136458508467     , -55257.293031245150     ) (  59647.249426157206     , -14093.590845053335     ) ( -92.390760212289578     ,  8.8382346016408366     ) (  28.588215770700636     ,  54.424775127513747     ) ( -23393.789662288778     ,  11279.665349216746     ) (  28196.904737836900     , -74380.272911148844     ) ( -28.855731292114083     , 0.26184606172082908     ) (  9.9921846630533935     ,  28.989625508710578     ) (  32.836383234831246     , -15.654074847275441     ) ( -6.2154270058081273     , -37.922932988827910     ) (  2122.2285638419753     ,  6072.1178001866310     ) (  6302.5626548679820     ,  440.37323799880062     )
 (  7287.3030918791947     ,  2249.3344247019045     ) ( -194.27779531063868     , -7636.2806361188641     ) (-4.87569148301391310E-011,-4.41447742380989441E-012) (-1.51871200923609027E-011, 5.27101781947450040E-013) ( -59647.249426154929     , -14093.590845052042     ) (  5981.2136458517762     ,  55257.293031246998     ) ( -28.588215769615466     ,  54.424775127978847     ) ( -92.390760212101270     , -8.8382346008045900     ) ( -28196.904737836849     , -74380.272911148524     ) ( -23393.789662288673     , -11279.665349216719     ) ( -9.9921846616190351     ,  28.989625509242835     ) ( -28.855731291985453     ,-0.26184606065463401     ) (  6.2154270040969770     , -37.922932989176147     ) (  32.836383235398344     ,  15.654074846191536     ) ( -6302.5626548679193     ,  440.37323799870489     ) (  2122.2285638419507     , -6072.1178001865928     )
 (  14.861999319098157     ,  20.921935091246798     ) (  85.198898153509290     ,  272.24135985572661     ) (  5981.2136458508430     ,  55257.293031245215     ) ( -59647.249426154980     ,  14093.590845052053     ) ( 7.69568601643277087E-011,-6.32522138336940048E-012) ( 2.39515049716921310E-009,-1.98190270012241217E-010) ( -41654.347238731374     , -157633.20631139557     ) ( -569455.04747440410     ,  192857.90130946043     ) ( -169.63800171547066     , -722.15142958873389     ) (  508.52785243070457     , -412.33720365898216     ) ( -23941.446141001135     ,  13229.287082022167     ) (  585781.16896283522     , -183036.46855430776     ) ( -764305.62788190879     ,  241834.72865102781     ) ( -129705.38471737337     ,  61144.889010429135     ) ( -556.91121034984985     ,  198.84783959113651     ) ( -46.420682836322456     ,  23.116153344902351     )
 ( -85.198898152255836     ,  272.24135985569268     ) (  14.861999320199709     , -20.921935089991095     ) (  59647.249426157119     ,  14093.590845053317     ) (  5981.2136458517789     , -55257.293031246969     ) ( 2.41458737537852532E-009, 1.94895883875069641E-010) ( 4.62268262767913669E-009, 3.16261069168470024E-012) (  569455.04747444578     ,  192857.90130947993     ) ( -41654.347238732858     ,  157633.20631139522     ) ( -508.52785243390093     , -412.33720366020322     ) ( -169.63800171123609     ,  722.15142958514639     ) ( -585781.16896284686     , -183036.46855431763     ) ( -23941.446141002518     , -13229.287082023066     ) (  129705.38471737746     ,  61144.889010432649     ) ( -764305.62788193615     , -241834.72865104614     ) (  46.420682833289511     ,  23.116153347054638     ) ( -556.91121035007586     , -198.84783958867840     )
 ( -36206.860407978973     ,  53774.649031551300     ) (  243932.56676889324     , -75402.040406872460     ) ( -92.390760212288782     , -8.8382346016700915     ) ( -28.588215769601103     , -54.424775127979437     ) ( -41654.347238731381     ,  157633.20631139557     ) (  569455.04747444578     , -192857.90130947993     ) (-3.72344698767678718E-009, 8.43362851115920064E-012) ( 2.29394695503530252E-009,-2.53008855334776026E-009) ( -716414.78517557704     ,  18611.608031286589     ) ( -421784.32610491221     , -256530.53078875697     ) (  147.25770228614164     ,  107.61835195928730     ) (  176.75784812937604     ,  577.85227290823786     ) ( -296.02979798627393     , -865.79927737549372     ) (  166.34065794337579     ,  14.151031577347291     ) (  187595.04314205871     ,  526161.98498858418     ) ( -120114.76673527520     , -82323.923650232886     )
 ( -243932.56676888501     , -75402.040406870728     ) ( -36206.860407977139     , -53774.649031548994     ) (  28.588215770682716     , -54.424775127520334     ) ( -92.390760212094818     ,  8.8382346007887769     ) ( -569455.04747440410     , -192857.90130946040     ) ( -41654.347238732851     , -157633.20631139522     ) ( 2.31503102631320044E-009, 2.51427549988933682E-009) (-1.59395578860908898E-009, 8.43362851115920064E-012) (  421784.32610489737     , -256530.53078874602     ) ( -716414.78517555050     , -18611.608031288815     ) ( -176.75784813165259     ,  577.85227290615785     ) (  147.25770228382819     , -107.61835196195548     ) ( -166.34065794004667     ,  14.151031581235710     ) ( -296.02979799025991     ,  865.79927737325215     ) (  120114.76673527095     , -82323.923650228986     ) (  187595.04314205382     , -526161.98498856393     )
 (  14.424571672015832     , -25.963150126293922     ) (  14.917548230653535     ,  1.9002195059107287     ) ( -23393.789662288775     , -11279.665349216746     ) ( -28196.904737836874     ,  74380.272911148539     ) ( -169.63800171549465     ,  722.15142958871922     ) ( -508.52785243380816     ,  412.33720366019440     ) ( -716414.78517557704     , -18611.608031286531     ) (  421784.32610489737     ,  256530.53078874608     ) ( 5.76440990022031120E-010, 8.91816774139499566E-012) ( 1.97917807868885418E-011, 1.34035139798836573E-010) (  274656.95851425029     ,  476550.04242708150     ) (  625044.80224725278     , -116440.71864766034     ) ( 2.42885672296050762E-011,-2.24303317934165864E-010) (-5.32984202907954114E-010,-6.90357668782522300E-011) (  13.128251847933152     ,  13.839184548911486     ) (  22.105240239612193     ,  5.2271206719102592     )
 ( -14.917548230745208     ,  1.9002195058965450     ) (  14.424571671874290     ,  25.963150126251634     ) (  28196.904737836900     ,  74380.272911148859     ) ( -23393.789662288716     ,  11279.665349216722     ) (  508.52785243075624     ,  412.33720365902582     ) ( -169.63800171119561     , -722.15142958520823     ) ( -421784.32610491232     ,  256530.53078875691     ) ( -716414.78517555050     ,  18611.608031288852     ) ( 2.58662649073262830E-011,-1.34881717025813599E-010) ( 4.66164673175601783E-010,-3.68059887874295395E-012) ( -625044.80224724405     , -116440.71864765645     ) (  274656.95851425332     , -476550.04242708965     ) ( 1.42848355358677860E-010,-2.14538847683027876E-010) (-2.80362396759946508E-010, 3.27655843176629628E-010) ( -22.105240239874725     ,  5.2271206715138785     ) (  13.128251848158225     , -13.839184549619384     )
