 (  363.60021034176458     ,-9.27699136227512103E-011) (-3.96380540024482433E-010, 3.16261069168470032E-011) (  689.21620652772572     ,  5069.7912950674026     ) (  347164.06102905190     , -76433.846503282213     ) ( -59249.743561622556     ,  54452.103035376262     ) ( -30719.223833761895     , -155768.82472351289     ) ( -38.562881103296654     , -42.580964650320098     ) ( -3.2811006025230123     ,  7.3563257543299612     ) ( -155605.91291137604     ,  26533.127314777128     ) (  186256.64160448301     ,  28358.245955378181     ) ( -716.21588988137944     , -411.80781167451579     ) (  203.14173117383791     , -232.56731867851462     ) (  140.24476408953927     , -22.113133129661723     ) ( -23.085881815616549     ,  51.068937422357173     ) (  393164.61090950388     ,  102822.02692614448     ) ( -72935.018598555194     , -458902.44813324080     )
 (-3.96215820717623843E-010,-3.13625560258732767E-011) (  363.60021032696301     ,-1.84650342988466079E-011) ( -347164.06101773644     , -76433.846518900900     ) (  689.21620676502596     , -5069.7912949235815     ) (  30719.223840848317     , -155768.82471861719     ) ( -59249.743557632253     , -54452.103037146961     ) (  3.2811006006849426     ,  7.3563257544605509     ) ( -38.562881102140388     ,  42.580964646013413     ) ( -186256.64160187327     ,  28358.245945500377     ) ( -155605.91290668730     , -26533.127321943011     ) ( -203.14173115078327     , -232.56731867502396     ) ( -716.21588988754559     ,  411.80781162221842     ) (  23.085881808993122     ,  51.068937423587364     ) (  140.24476408359357     ,  22.113133140508157     ) (  72935.018619811293     , -458902.44811969361     ) (  393164.61090611847     , -102822.02690435933     )
 (  689.21620652772617     , -5069.7912950674017     ) ( -347164.06101773639     ,  76433.846518900900     ) ( -388.85771503284008     , 1.82591351652733861E-011) (-3.38498175594378081E-010, 8.29073451245938472E-011) (  20.357574168119260     , -22.938059666586483     ) ( -21.867674913569417     , -14.243030255173744     ) (  26049.062256063698     , -74619.772194495075     ) (  95912.454085603036     ,  70775.342414110099     ) (  207.16459995916739     , -119.84143997778584     ) ( -332.67959253578152     ,  65.288227825490836     ) ( -113438.48024393944     , -22698.041324120681     ) (  10662.462457096375     , -30905.494439821876     ) ( -85443.030221125096     , -89280.875822473856     ) ( -218996.75635539478     , -4639.0496340451145     ) (  1.2850216176630491     , -211.99858453576832     ) (  178.23252196407861     , -71.887662952527251     )
 (  347164.06102905190     ,  76433.846503282199     ) (  689.21620676502596     ,  5069.7912949235806     ) (-3.39058221237697216E-010,-8.31503061022102499E-011) ( -388.85771503200692     , 8.32820815476971067E-011) (  21.867674912197767     , -14.243030256331473     ) (  20.357574171200302     ,  22.938059666704159     ) ( -95912.454085606965     ,  70775.342414114479     ) (  26049.062256064011     ,  74619.772194494566     ) (  332.67959253162832     ,  65.288227818232542     ) (  207.16459995935512     ,  119.84143998104254     ) ( -10662.462457095840     , -30905.494439813661     ) ( -113438.48024396997     ,  22698.041324134636     ) (  218996.75635540605     , -4639.0496340345544     ) ( -85443.030221129142     ,  89280.875822469199     ) ( -178.23252196762587     , -71.887662945389053     ) (  1.2850216281314881     ,  211.99858453622892     )
 ( -59249.743561622556     , -54452.103035376254     ) (  30719.223840848303     ,  155768.82471861716     ) (  20.357574168113729     ,  22.938059666580028     ) (  21.867674912199348     ,  14.243030256329364     ) (  122.43620340898030     , 2.53008855334776019E-011) ( 5.73486738758825631E-010,-3.87946911513323236E-010) (  242340.73837901937     , -84795.926156832953     ) (  44790.386738747620     , -192421.66795891046     ) (  550.12986029612512     , -1692.2272812399499     ) (  709.71048498254345     , -312.18797297907099     ) ( -257977.24013178621     ,  134122.30149223362     ) ( -59567.027546021978     ,  344510.05734498496     ) ( -207722.30790519790     , -220440.65459943868     ) ( -153708.14061995342     , -90192.780463646239     ) (  3.6425222721947232     , -301.49862004638783     ) ( -64.953819713598307     ,  105.16706219907530     )
 ( -30719.223833761916     ,  155768.82472351292     ) ( -59249.743557632260     ,  54452.103037146997     ) ( -21.867674913565629     ,  14.243030255167632     ) (  20.357574171191342     , -22.938059666693619     ) ( 5.75595145886615443E-010, 3.71079654491004841E-010) (  122.43620340634057     , 2.10840712778980000E-011) ( -44790.386738750662     , -192421.66795891488     ) (  242340.73837901303     ,  84795.926156827569     ) ( -709.71048498115829     , -312.18797298090533     ) (  550.12986031372611     ,  1692.2272812472493     ) (  59567.027546030018     ,  344510.05734489037     ) ( -257977.24013186229     , -134122.30149225084     ) (  153708.14061996195     , -90192.780463641277     ) ( -207722.30790520238     ,  220440.65459942209     ) (  64.953819712272121     ,  105.16706220025391     ) (  3.6425222725536797     ,  301.49862004353616     )
 ( -38.562881103346200     ,  42.580964650286361     ) (  3.2811006006755208     , -7.3563257544696432     ) (  26049.062256063702     ,  74619.772194495104     ) ( -95912.454085606980     , -70775.342414114522     ) (  242340.73837901943     ,  84795.926156832909     ) ( -44790.386738750647     ,  192421.66795891488     ) ( -122.61582978715087     , 3.16261069168470032E-011) (-1.32407967625199446E-009, 4.38548682580278420E-010) (  554916.95915212366     , -132947.11016035444     ) ( -449838.15231198486     , -472266.89867332997     ) (  2129.3362026990321     ,  1852.4900703645619     ) ( -1331.1091952128404     , -476.20008954198414     ) ( -4.1089357458024667     , -22.915592190322165     ) ( -133.00317689648330     ,  132.32153330230872     ) (  57839.533340272959     , -68542.599269265935     ) ( -361514.26977459691     , -711664.04111513472     )
 ( -3.2811006025050911     , -7.3563257543578979     ) ( -38.562881102205026     , -42.580964646017762     ) (  95912.454085603036     , -70775.342414110055     ) (  26049.062256063993     , -74619.772194494566     ) (  44790.386738747613     ,  192421.66795891046     ) (  242340.73837901308     , -84795.926156827569     ) (-1.32407967625199446E-009,-3.18369476296259844E-010) ( -122.61582978763158     ,-4.21681425557960000E-011) (  449838.15231198759     , -472266.89867333230     ) (  554916.95915209013     ,  132947.11016034623     ) (  1331.1091951919839     , -476.20008955292258     ) (  2129.3362027182438     , -1852.4900703371736     ) (  133.00317689567999     ,  132.32153330240573     ) ( -4.1089357471518477     ,  22.915592190958904     ) (  361514.26977459562     , -711664.04111511447     ) (  57839.533340270806     ,  68542.599269264363     )
 ( -155605.91291137607     , -26533.127314777128     ) ( -186256.64160187324     , -28358.245945500381     ) (  207.16459995915878     ,  119.84143997779441     ) (  332.67959253162911     , -65.288227818247307     ) (  550.12986029612512     ,  1692.2272812400217     ) ( -709.71048498115613     ,  312.18797298088845     ) (  554916.95915212366     ,  132947.11016035444     ) (  449838.15231198753     ,  472266.89867333247     ) ( -128.58449575706155     ,-6.53606209614838058E-011) ( 2.25177881247950669E-009, 3.80187973283056783E-008) ( -440747.20884561230     ,  433048.34325705550     ) (  6675.3323098330575     , -470052.84966912417     ) ( -8088.2521179620480     , -110229.06882661197     ) (  141044.97185983165     ,  98608.179544369836     ) (  475.97929898082197     ,  338.39842295695036     ) ( -1882.4747202132539     ,  884.34081534294955     )
 (  186256.64160448307     , -28358.245955378185     ) ( -155605.91290668727     ,  26533.127321943000     ) ( -332.67959253580244     , -65.288227825490466     ) (  207.16459995935722     , -119.84143998106943     ) (  709.71048498251605     ,  312.18797297909316     ) (  550.12986031372191     , -1692.2272812472365     ) ( -449838.15231198474     ,  472266.89867332997     ) (  554916.95915208990     , -132947.11016034626     ) ( 2.25599562673508611E-009,-3.80272309568168354E-008) ( -128.58449576973732     , 2.31924784056878026E-011) ( -6675.3323098582005     , -470052.84966898570     ) ( -440747.20884573756     , -433048.34325712954     ) ( -141044.97185983631     ,  98608.179544360537     ) ( -8088.2521179676878     ,  110229.06882660501     ) (  1882.4747202207589     ,  884.34081536284816     ) (  475.97929900431387     , -338.39842296084248     )
 ( -716.21588988143003     ,  411.80781167451153     ) ( -203.14173115078299     ,  232.56731867500071     ) ( -113438.48024393947     ,  22698.041324120684     ) ( -10662.462457095837     ,  30905.494439813669     ) ( -257977.24013178612     , -134122.30149223370     ) (  59567.027546030040     , -344510.05734489032     ) (  2129.3362026990617     , -1852.4900703646863     ) (  1331.1091951919670     ,  476.20008955284663     ) ( -440747.20884561236     , -433048.34325705544     ) ( -6675.3323098582068     ,  470052.84966898570     ) (  148.16519567356272     ,-5.06017710669552038E-011) ( 2.73586908902004469E-008, 7.85592495814479526E-009) ( -87.408028393266903     , -437.28814109331813     ) (  509.76036281128165     , -235.52584181937107     ) (  103384.17021128595     ,  79000.871969535583     ) (  250116.94275982527     , -561203.48816460953     )
 (  203.14173117384422     ,  232.56731867850198     ) ( -716.21588988752205     , -411.80781162221683     ) (  10662.462457096341     ,  30905.494439821876     ) ( -113438.48024396993     , -22698.041324134636     ) ( -59567.027546022036     , -344510.05734498496     ) ( -257977.24013186223     ,  134122.30149225084     ) ( -1331.1091952128477     ,  476.20008954200944     ) (  2129.3362027182015     ,  1852.4900703372284     ) (  6675.3323098330784     ,  470052.84966912400     ) ( -440747.20884573756     ,  433048.34325712960     ) ( 2.73080891191334906E-008,-7.89387628644501250E-009) (  148.16519562086941     , 8.43362851115920064E-012) ( -509.76036282103303     , -235.52584181465247     ) ( -87.408028394127129     ,  437.28814108929527     ) ( -250116.94275985408     , -561203.48816477531     ) (  103384.17021131802     , -79000.871969549014     )
 (  140.24476408954348     ,  22.113133129624824     ) (  23.085881809005642     , -51.068937423587037     ) ( -85443.030221125140     ,  89280.875822473870     ) (  218996.75635540611     ,  4639.0496340345580     ) ( -207722.30790519799     ,  220440.65459943863     ) (  153708.14061996198     ,  90192.780463641277     ) ( -4.1089357459010349     ,  22.915592190362222     ) (  133.00317689567788     , -132.32153330243102     ) ( -8088.2521179620671     ,  110229.06882661201     ) ( -141044.97185983625     , -98608.179544360566     ) ( -87.408028393258462     ,  437.28814109329704     ) ( -509.76036282105622     ,  235.52584181464823     ) ( -39.852145309231794     ,-3.16261069168470032E-011) ( 1.68672570223184000E-010, 3.33128326190788427E-010) ( -370484.10177191516     , -339362.03490572644     ) (  83325.177965492083     ,  14.699412541150373     )
 ( -23.085881815603372     , -51.068937422378255     ) (  140.24476408358427     , -22.113133140447278     ) ( -218996.75635539481     ,  4639.0496340451164     ) ( -85443.030221129127     , -89280.875822469199     ) ( -153708.14061995342     ,  90192.780463646224     ) ( -207722.30790520238     , -220440.65459942215     ) ( -133.00317689648119     , -132.32153330236775     ) ( -4.1089357471138968     , -22.915592190969445     ) (  141044.97185983165     , -98608.179544369865     ) ( -8088.2521179677051     , -110229.06882660495     ) (  509.76036281126903     ,  235.52584181932892     ) ( -87.408028394122908     , -437.28814108929106     ) ( 1.98190270012241217E-010,-3.05719033529521022E-010) ( -39.852145307030611     , 1.26504427667388010E-011) ( -83325.177965490089     ,  14.699412544545963     ) ( -370484.10177188535     ,  339362.03490573331     )
