 ( 8.36164555214143881E-012, 1.46790067237714056E-016) (-1.44952990035548754E-011,-6.43064173975888996E-011) (  7636.2806361189487     , -194.27779531060278     ) (  2249.3344247019186     ,  7287.3030918791355     ) (  20.921935091143194     ,  14.861999319086536     ) (  272.24135985571598     , -85.198898152149368     ) (  53774.649031550915     , -36206.860407979213     ) ( -75402.040406870801     , -243932.56676888527     ) (  25.963150126080730     , -14.424571671977953     ) ( -1.9002195057074469     ,  14.917548230380099     ) ( -13380.168187639647     , -15132.392163238033     ) ( -130154.68646814364     , -421655.99411843205     ) ( -37677.847811226762     , -79675.394293466743     ) ( -169.97303774219316     , -506812.66335841507     ) ( -9.0217955376765637     , -25.508868804121263     ) ( 0.27042790568473368     ,-8.34995981564980172E-002)
 (-1.39681972216074078E-011, 6.48335191795363656E-011) ( 2.49591488408863680E-011,-3.59903807144030831E-015) ( -2249.3344247019536     ,  7287.3030918791274     ) (  7636.2806361188541     ,  194.27779531055620     ) ( -272.24135985575873     , -85.198898153170774     ) (  20.921935089957241     , -14.861999320156434     ) (  75402.040406872402     , -243932.56676889324     ) (  53774.649031548783     ,  36206.860407977205     ) (  1.9002195058601270     ,  14.917548230641412     ) (  25.963150126099830     ,  14.424571671832123     ) (  130154.68646813983     , -421655.99411842402     ) ( -13380.168187639818     ,  15132.392163238428     ) (  169.97303774178241     , -506812.66335841181     ) ( -37677.847811226486     ,  79675.394293466423     ) (-0.27042790618392543     ,-8.34995978591115268E-002) ( -9.0217955376283427     ,  25.508868803896295     )
 (  7636.2806361189496     ,  194.27779531060250     ) ( -2249.3344247019545     , -7287.3030918791283     ) (-4.94157920575734409E-011,-9.05956187722179788E-014) (-5.86400732416538147E-012,-5.40279326496136326E-012) ( -61324.058574663664     ,  2559.2149415863446     ) (  20684.782088939402     ,  51483.172644847626     ) ( -12.784065659634354     ,  60.277025801445724     ) ( -91.249424660865969     ,  16.440788206963475     ) (  47249.983211809253     ,  63940.801796156251     ) (  25691.848812415057     ,  4575.2089606686995     ) ( -1.7763720636070925     ,  30.657929651067256     ) ( -27.804153005520124     ,  7.5384919366750989     ) (  4.3009368445642213     ,  38.242708012598563     ) ( -35.786248889147124     , -6.1967829698320482     ) ( -5938.6861898211882     ,  2125.6355634082852     ) (  401.05793719821639     , -6429.8931239347439     )
 (  2249.3344247019186     , -7287.3030918791337     ) (  7636.2806361188550     , -194.27779531055626     ) (-5.53456871044822572E-012, 5.40279326496136326E-012) ( 5.32372799766924563E-011, 2.88258787002511756E-014) ( -20684.782088937845     ,  51483.172644845676     ) ( -61324.058574665898     , -2559.2149415855615     ) (  91.249424661268606     ,  16.440788206045266     ) ( -12.784065660671033     , -60.277025801240299     ) ( -25691.848812415006     ,  4575.2089606687014     ) (  47249.983211808998     , -63940.801796156025     ) (  27.804153006078010     ,  7.5384919352282704     ) ( -1.7763720649251105     , -30.657929650934911     ) (  35.786248889048977     , -6.1967829714893821     ) (  4.3009368430972161     , -38.242708012518932     ) ( -401.05793719829575     , -6429.8931239347894     ) ( -5938.6861898211528     , -2125.6355634082956     )
 (  20.921935091138849     , -14.861999319092178     ) ( -272.24135985573508     ,  85.198898153273149     ) ( -61324.058574663686     , -2559.2149415863378     ) ( -20684.782088937864     , -51483.172644845705     ) ( 1.54967923892550303E-009, 3.90055318641113009E-011) (-4.89150453647233657E-010, 2.49635403930312326E-009) (  95008.287975613523     , -129889.90562848674     ) ( -166818.23723773286     , -578212.97713223437     ) ( -738.28875828602600     ,  53.400772983685016     ) ( -507.81155571491871     , -416.06222589510344     ) (  50457.587443639226     ,  65714.881712640534     ) (  182070.88543620985     ,  580840.69457954995     ) (  249779.77081056472     ,  774729.57307044079     ) ( -22330.379230653736     ,  10715.499884914147     ) ( -199.75501237612264     , -556.26692154736679     ) (  34.919394861075176     ,  42.725621704060259     )
 (  272.24135985571144     ,  85.198898152093520     ) (  20.921935089963686     ,  14.861999320153325     ) (  20684.782088939406     , -51483.172644847597     ) ( -61324.058574665876     ,  2559.2149415855674     ) (-4.91258860775023469E-010,-2.50709373811030257E-009) (-3.68865827006825554E-009, 1.58130534584235016E-011) (  166818.23723775055     , -578212.97713227663     ) (  95008.287975612067     ,  129889.90562848772     ) (  507.81155570936880     , -416.06222589394224     ) ( -738.28875828846094     , -53.400772982419610     ) ( -182070.88543621896     ,  580840.69457956217     ) (  50457.587443642893     , -65714.881712643051     ) (  22330.379230654395     ,  10715.499884914820     ) (  249779.77081058320     , -774729.57307046838     ) ( -34.919394863110973     ,  42.725621701039969     ) ( -199.75501237485679     ,  556.26692154668899     )
 (  53774.649031550915     ,  36206.860407979220     ) (  75402.040406872402     ,  243932.56676889327     ) ( -12.784065659610503     , -60.277025801444012     ) (  91.249424661272883     , -16.440788206025761     ) (  95008.287975613523     ,  129889.90562848675     ) (  166818.23723775058     ,  578212.97713227686     ) ( 3.70657973065446868E-009,-8.43362851115920064E-012) ( 1.07107082091721843E-009, 2.29394695503530252E-009) (  244332.36747283806     ,  570540.37465824140     ) ( -550121.95464875572     ,  263548.24501331849     ) (  65.718486487431477     , -110.17935851380429     ) ( -589.93669854405482     ,  184.22651259340066     ) ( -838.85147777189536     ,  243.73173082269903     ) ( -241.99053343227297     ,  208.50688127470119     ) ( -528627.04222036316     ,  185934.97193179038     ) ( -85781.637123504755     ,  108932.39844106854     )
 ( -75402.040406870787     ,  243932.56676888521     ) (  53774.649031548790     , -36206.860407977212     ) ( -91.249424660870190     , -16.440788206951353     ) ( -12.784065660663652     ,  60.277025801236334     ) ( -166818.23723773289     ,  578212.97713223437     ) (  95008.287975612096     , -129889.90562848761     ) ( 1.11113055634522476E-009,-2.17165934162349403E-009) (-1.19335843432902692E-009,-4.21681425557960032E-012) (  550121.95464873442     ,  263548.24501331028     ) (  244332.36747283090     , -570540.37465821893     ) (  589.93669854267534     ,  184.22651259564847     ) (  65.718486490406434     ,  110.17935851253503     ) (  241.99053343620628     ,  208.50688127333837     ) ( -838.85147776889653     , -243.73173082600673     ) (  85781.637123500652     ,  108932.39844106487     ) ( -528627.04222034232     , -185934.97193178537     )
 (  25.963150126103926     ,  14.424571672005129     ) (  1.9002195058601270     , -14.917548230638250     ) (  47249.983211809245     , -63940.801796156200     ) ( -25691.848812414952     , -4575.2089606686977     ) ( -738.28875828605612     , -53.400772983725858     ) (  507.81155570933782     ,  416.06222589406082     ) (  244332.36747283812     , -570540.37465824140     ) (  550121.95464873419     , -263548.24501331017     ) (-6.80174757544787990E-010, 1.39130057591129489E-011) ( 1.42468768309995770E-010,-3.40269664210938157E-010) ( -507774.94726513675     ,  225859.95262285991     ) ( -65946.834642367699     , -627358.53648833313     ) (-1.56834289844892259E-010, 3.79094430401940725E-011) ( 1.16504060367250281E-010,-2.89294576930068021E-010) (  13.369710133254573     , -13.215927373705028     ) ( -4.9632923394717192     ,  22.400765743139267     )
 ( -1.9002195057279083     , -14.917548230374742     ) (  25.963150126066093     , -14.424571671941759     ) (  25691.848812415134     , -4575.2089606687214     ) (  47249.983211808998     ,  63940.801796156062     ) ( -507.81155571491348     ,  416.06222589501806     ) ( -738.28875828841308     ,  53.400772982469775     ) ( -550121.95464875561     , -263548.24501331843     ) (  244332.36747283090     ,  570540.37465821893     ) ( 1.01259881286643993E-010, 3.28346132561360047E-010) (-1.01436120391893521E-009, 7.35875515385870578E-011) (  65946.834642364818     , -627358.53648832382     ) ( -507774.94726514455     , -225859.95262286166     ) ( 1.22806292763340046E-010,-7.91029918013065465E-012) ( 1.69788859483368403E-010,-9.07172577310581907E-011) (  4.9632923388220664     ,  22.400765743699839     ) (  13.369710133391356     ,  13.215927374003368     )
 ( -13380.168187639652     ,  15132.392163238032     ) (  130154.68646813984     ,  421655.99411842402     ) ( -1.7763720636242233     , -30.657929651065707     ) (  27.804153006068837     , -7.5384919352429627     ) (  50457.587443639204     , -65714.881712640490     ) ( -182070.88543621896     , -580840.69457956217     ) (  65.718486487425153     ,  110.17935851384225     ) (  589.93669854267171     , -184.22651259576207     ) ( -507774.94726513675     , -225859.95262285988     ) (  65946.834642364833     ,  627358.53648832405     ) ( 4.62795364549861158E-010, 2.42466819695827022E-011) (-1.09637170645069605E-010, 3.37345140446368026E-011) ( -69.635258411695233     ,  21.849157827464772     ) ( -2.5224821164352940     ,-0.46950635010776176     ) ( -440051.49782084860     ,  155522.64381189868     ) ( -16865.248085513456     , -19461.620444469569     )
