 ( -259.50740567458251     ,-7.59026566004328025E-011) ( 5.04699956214683406E-011,-2.26653766237403527E-011) ( -374.87150743606179     , -439.38833813146874     ) ( -237147.02140078874     ,  67376.521278672226     ) (  42323.036694046110     ,  58107.804036508991     ) ( -135328.31241518905     ,  49122.121753538289     ) (  23.077367265132615     ,  34.894006393476744     ) ( -88.854653968159212     ,  66.909025101164346     ) (  71551.187546155736     ,  100045.97188842217     ) ( -407269.26082804118     ,  112412.45848071983     ) ( -902.79989838808740     ,  782.99863197566049     ) ( -325.49963542288646     , -1102.0547523413472     ) ( -101.26081608884849     ,  151.35586012330262     ) ( -1.6068473128539698     ,  162.91192766207936     ) (  143254.86291566910     ,  109385.62405463512     ) ( -34572.743802072793     ,  2699.3330636592896     )
 ( 5.07911982698425686E-011, 2.25006573168817720E-011) ( -259.50740566025382     ,-2.21320978677857045E-011) (  237147.02139741421     ,  67376.521268641241     ) ( -374.87150741137066     ,  439.38833813408638     ) (  135328.31241352690     ,  49122.121747654885     ) (  42323.036691036963     , -58107.804036586749     ) (  88.854653967938319     ,  66.909025096416471     ) (  23.077367262851318     , -34.894006394230452     ) (  407269.26082214498     ,  112412.45846357547     ) (  71551.187540874016     , -100045.97188852285     ) (  325.49963539278650     , -1102.0547523160294     ) ( -902.79989839705581     , -782.99863192091425     ) (  1.6068473173542990     ,  162.91192765708095     ) ( -101.26081608950663     , -151.35586011685533     ) (  34572.743801328732     ,  2699.3330623757156     ) (  143254.86290833401     , -109385.62405702504     )
 ( -374.87150743606151     ,  439.38833813146925     ) (  237147.02139741418     , -67376.521268641256     ) (  273.07240716106810     , 2.28795117226565047E-011) ( 1.90843788926348633E-010,-6.91821088806028195E-012) (  96.200245433998091     ,  6.8898149199331336     ) (  1.5597115739431622     , -4.3047655332342574     ) ( -111197.25962197548     , -36143.669454911076     ) ( -6667.5692107992754     , -34790.689660286385     ) (  810.71502998874723     ,  1.8611089134117615     ) ( -59.048044042608566     ,  83.864577901563209     ) ( -2002.8541798909014     ,  42906.170002853753     ) (  162381.18902760881     ,  74323.473855639575     ) ( -58447.561244902528     , -196963.89142572417     ) (  253374.72502730467     ,  215733.54620255053     ) (-0.68356141916117097     , 0.44943462744144647     ) (  51.937039203663744     , -69.586873551767738     )
 ( -237147.02140078877     , -67376.521278672270     ) ( -374.87150741137066     , -439.38833813408684     ) ( 1.91601497737898092E-010, 6.98409861080371278E-012) (  273.07240716274930     , 5.48185853225348026E-011) ( -1.5597115744110968     , -4.3047655329535433     ) (  96.200245434644813     , -6.8898149204805286     ) (  6667.5692108006651     , -34790.689660287993     ) ( -111197.25962197210     ,  36143.669454905459     ) (  59.048044048084229     ,  83.864577896381604     ) (  810.71502998958204     , -1.8611089175675637     ) ( -162381.18902759865     ,  74323.473855637334     ) ( -2002.8541798916076     , -42906.170002857150     ) ( -253374.72502730790     ,  215733.54620257957     ) ( -58447.561244887751     ,  196963.89142571791     ) ( -51.937039205052393     , -69.586873550190830     ) (-0.68356141828649497     ,-0.44943462811297413     )
 (  42323.036694046124     , -58107.804036509049     ) (  135328.31241352693     , -49122.121747654885     ) (  96.200245433996074     , -6.8898149199502647     ) ( -1.5597115744363976     ,  4.3047655329408929     ) (  146.29197306227175     ,-1.01203542133910408E-010) (-3.03610626401731210E-010,-2.36141598312457631E-010) ( -68065.357780623002     , -18395.179882083572     ) ( -5800.0275471087780     , -2540.0812340669022     ) (  529.62371602991925     , -56.910905621229539     ) (  257.37370875747871     , -732.58141843048679     ) (  19987.741788359021     ,  295725.25250685459     ) (  132705.45067371917     ,  52772.855120496104     ) (  229238.99468407992     ,  631905.03054831340     ) (  888836.76533618779     ,  658971.81136668299     ) (  164.43879976485937     , -48.194086406498847     ) (  85.823567087003156     , -132.83113047252519     )
 ( -135328.31241518908     , -49122.121753538304     ) (  42323.036691036934     ,  58107.804036586735     ) (  1.5597115739774237     ,  4.3047655332635122     ) (  96.200245434645069     ,  6.8898149204805286     ) (-3.41561954701947624E-010, 2.10840712778980013E-010) (  146.29197306256560     ,-1.68672570223184013E-011) (  5800.0275471096083     , -2540.0812340736238     ) ( -68065.357780638384     ,  18395.179882152712     ) ( -257.37370875392395     , -732.58141843732960     ) (  529.62371603384565     ,  56.910905611218823     ) ( -132705.45067373026     ,  52772.855120644177     ) (  19987.741788093452     , -295725.25250704470     ) ( -888836.76533604763     ,  658971.81136793457     ) (  229238.99468356272     , -631905.03054882749     ) ( -85.823567087566104     , -132.83113046627165     ) (  164.43879976422420     ,  48.194086405687109     )
 (  23.077367265132615     , -34.894006393477802     ) (  88.854653967945083     , -66.909025096415689     ) ( -111197.25962197549     ,  36143.669454911054     ) (  6667.5692108006688     ,  34790.689660288008     ) ( -68065.357780623031     ,  18395.179882083667     ) (  5800.0275471096074     ,  2540.0812340735647     ) ( -121.25091153157091     , 2.53008855334776019E-011) ( 2.10840712778980013E-010, 2.65659298101514796E-010) (  472195.61738191545     , -194986.58393666529     ) ( -93859.573619677860     ,  451128.91753381019     ) (  48.022833886668408     ,  617.88697521917061     ) ( -2266.4427256816466     , -143.65149159652688     ) (  43.912764209539496     , -21.729140865088766     ) (  570.85248330450952     ,  221.60011280267375     ) ( -551805.14368941495     ,  331043.45159630151     ) (  16414.783358633536     ,  118155.49554978067     )
 ( -88.854653968159738     , -66.909025101186486     ) (  23.077367262834056     ,  34.894006394240748     ) ( -6667.5692107993018     ,  34790.689660286378     ) ( -111197.25962197209     , -36143.669454905452     ) ( -5800.0275471087944     ,  2540.0812340669040     ) ( -68065.357780638369     , -18395.179882152690     ) ( 1.93973455756661618E-010,-2.79100393541174810E-010) ( -121.25091153189086     , 6.64148245253786990E-011) (  93859.573619694362     ,  451128.91753379849     ) (  472195.61738188454     ,  194986.58393663020     ) (  2266.4427256771155     , -143.65149157623347     ) (  48.022833863922912     , -617.88697522457164     ) ( -570.85248330811066     ,  221.60011279888602     ) (  43.912764206296764     ,  21.729140868586615     ) ( -16414.783358648336     ,  118155.49554977393     ) ( -551805.14368933754     , -331043.45159635099     )
 (  71551.187546155736     , -100045.97188842217     ) (  407269.26082214509     , -112412.45846357547     ) (  810.71502998874712     , -1.8611089134186138     ) (  59.048044048082645     , -83.864577896395559     ) (  529.62371602991186     ,  56.910905621122012     ) ( -257.37370875387336     ,  732.58141843727162     ) (  472195.61738191545     ,  194986.58393666529     ) (  93859.573619694420     , -451128.91753379849     ) ( -4661.2401896133360     , 4.21681425557960000E-011) (-1.55431773460664072E-008,-1.55895623028777816E-008) (  15026.744675310032     , -578409.94054265390     ) ( -406260.91012416099     , -177247.95949947013     ) ( -22570.872198682271     , -87458.811985807086     ) ( -75722.547669230014     , -62449.018908750819     ) ( -1696.1341469922436     ,  395.80227100417176     ) ( -729.13073032488876     ,  896.90337979809271     )
 ( -407269.26082804124     , -112412.45848071987     ) (  71551.187540874016     ,  100045.97188852284     ) ( -59.048044042613967     , -83.864577901573028     ) (  810.71502998957556     ,  1.8611089175970814     ) (  257.37370875747871     ,  732.58141843045303     ) (  529.62371603386407     , -56.910905611328459     ) ( -93859.573619677743     , -451128.91753381019     ) (  472195.61738188443     , -194986.58393663020     ) (-1.55516109745775644E-008, 1.56696817737337947E-008) ( -4661.2401896191341     ,-6.74690280892736051E-011) (  406260.91012412071     , -177247.95949945640     ) (  15026.744675315487     ,  578409.94054267125     ) (  75722.547669227948     , -62449.018908756458     ) ( -22570.872198675475     ,  87458.811985799926     ) (  729.13073030692783     ,  896.90337981889206     ) ( -1696.1341469880795     , -395.80227100173653     )
