 ( -236.08426310553907     ,-6.02131426221532567E-011) (-3.99205018316706535E-010, 9.71477725274970979E-011) (  1.2362741909378869     ,  526682.24806922022     ) (  507852.74149696250     , -142716.36784805619     ) (  472.98707141007611     ,  1.8486922910107497     ) ( -25.879379766802447     ,  33.777931316215458     ) ( -182.81839549265564     ,  452315.55155014677     ) ( -109945.33994693073     , -33192.181644334109     ) ( 2.01616431594899797E-011,-1.84815062295324695E-010) (-1.58130534584234548E-012, 6.85232316531685113E-011) (  1.8844265604086907     , -270953.03274019383     ) ( -5109.6861442300715     ,  11301.136471010414     ) ( 3.46569421630448002E-011, 5.87718486871406553E-011) ( 5.07500184431279145E-011,-9.54054225324883981E-011) (-0.90171840459544739     ,-8.31385800385976134E-005) ( -3.4949428693174469     ,  86.133465627501280     )
 (-3.99205018316706587E-010,-9.71477725274971367E-011) ( -236.08426310582558     , 1.01203542133910408E-010) ( -507852.74149696145     , -142716.36784805631     ) (  1.2362741912184039     , -526682.24806921463     ) (  25.879379769359954     ,  33.777931315185036     ) (  472.98707140938171     , -1.8486922896116329     ) (  109945.33994693411     , -33192.181644335564     ) ( -182.81839549420604     , -452315.55155012733     ) ( 1.31962816554043742E-011,-4.34130521368251514E-012) (-6.64399508995440356E-012, 2.06806068941409744E-010) (  5109.6861442299623     ,  11301.136471010230     ) (  1.8844265611832995     ,  270953.03274019645     ) ( 2.82745432886813503E-011,-5.52525191960950969E-011) (-4.05896928545008263E-011,-1.41513085568614424E-010) (  3.4949428687707251     ,  86.133465627635260     ) (-0.90171840458054342     , 8.31386447659373260E-005)
 (  1.2362741909521355     , -526682.24806922034     ) ( -507852.74149696168     ,  142716.36784805631     ) (  278.50480293581381     ,-1.11745577772859404E-010) (-2.93595692544729679E-010, 2.95835875118006323E-010) ( -2563.6134027432622     , -39621.363879416815     ) ( -33522.019493626474     ,  12384.319839392343     ) ( -8.3034051404470723     , -1.4485368898203808     ) ( -2.0927977409390572     , -12.761211220421819     ) (-3.22626126396413023E-011, 4.89961767436050250E-011) ( 5.12274851558061337E-011,-1.89157190388715450E-011) ( -21.077635147552446     ,-0.71898237780803598     ) ( -4.6940675713214972     , -19.355832079518450     ) ( 6.27937394364338073E-011, 1.39991371485773152E-011) (-1.98472129806027874E-011, 2.21004232897198304E-013) (  27744.012508695603     ,  84349.405963212921     ) ( -90371.447179185692     , -3376.5838151068060     )
 (  507852.74149696238     ,  142716.36784805622     ) (  1.2362741912214674     ,  526682.24806921452     ) (-3.99279599825193386E-010,-2.97944282245796135E-010) (  278.50480293585554     ,-1.56022127456445204E-010) (  33522.019493625230     ,  12384.319839391401     ) ( -2563.6134027428698     ,  39621.363879418132     ) (  2.0927977426724311     , -12.761211220385318     ) ( -8.3034051405748919     ,  1.4485368887058241     ) (-1.20202929788615295E-012, 2.64079771593944707E-011) (-2.08283032114205243E-011,-6.61291675532184188E-011) (  4.6940675706448634     , -19.355832079629767     ) ( -21.077635147597420     , 0.71898237870737047     ) ( 3.14646007735902753E-011,-3.09553121640333377E-011) (-6.80797404055303142E-011, 1.62384014516824498E-011) (  90371.447179185110     , -3376.5838151067928     ) (  27744.012508695512     , -84349.405963212688     )
 (  472.98707141007435     , -1.8486922910262995     ) (  25.879379769360614     , -33.777931315183586     ) ( -2563.6134027432608     ,  39621.363879416807     ) (  33522.019493625216     , -12384.319839391401     ) ( -618.57502546860815     , 2.29948152374575077E-011) (-1.60950529117653876E-009,-7.62320952141499575E-010) ( -3095.2576464813810     , -261955.33603168829     ) (  84263.185231432100     ,  34026.636377883995     ) (-4.83430994532325980E-011,-1.23036591363363750E-011) (-1.01255086149517964E-010, 1.64575528355805600E-011) (  25.721074747148137     , -236125.97895052479     ) (  12460.043780507285     ,  22806.738357985723     ) ( 2.16097193861344139E-011, 1.21411761428370912E-010) (-6.63364528319187621E-011,-2.78567346566508375E-011) (  20.844517774382993     ,  17.112791629397723     ) ( -12.289206459909634     ,  330.29849338331638     )
 ( -25.879379766802202     , -33.777931316214001     ) (  472.98707140938041     ,  1.8486922896179581     ) ( -33522.019493626474     , -12384.319839392345     ) ( -2563.6134027428684     , -39621.363879418132     ) (-1.60555202781193280E-009, 7.60344320459196697E-010) ( -618.57502546772355     , 4.00597354280062006E-011) ( -84263.185231438852     ,  34026.636377885938     ) ( -3095.2576464836498     ,  261955.33603168841     ) ( 1.21861795856257318E-010, 7.85636342725493835E-011) (-1.17954253356394602E-010, 1.09588075706445498E-010) ( -12460.043780507758     ,  22806.738357986123     ) (  25.721074744928060     ,  236125.97895053739     ) (-6.66185452084082380E-011,-7.61897197536751559E-011) ( 5.45635059490110213E-011,-1.81756317479508473E-010) (  12.289206461031570     ,  330.29849338287318     ) (  20.844517774971319     , -17.112791627693998     )
 ( -182.81839549264680     , -452315.55155014677     ) (  109945.33994693408     ,  33192.181644335564     ) ( -8.3034051404391658     ,  1.4485368898591227     ) (  2.0927977426647884     ,  12.761211220385976     ) ( -3095.2576464813778     ,  261955.33603168835     ) ( -84263.185231438882     , -34026.636377885938     ) (  591.40259588133722     ,-1.89756641501082006E-011) (-1.77106198734343218E-009,-4.59632753858176440E-010) (-5.61700248101867661E-012,-1.68463795905847485E-010) ( 9.81098228011948742E-011,-1.13537488937592797E-010) (  277.23512864399629     , -3.3095050800987713     ) (  8.7919445868828792     , -72.722548185269645     ) (-2.65931454039496374E-011, 1.45461938084546672E-011) (-5.79187861218464466E-011,-1.39846783469435439E-010) ( -18238.919814857629     ,  73659.772871238194     ) (  286425.72230407048     ,  11314.846224138191     )
 ( -109945.33994693075     ,  33192.181644334101     ) ( -182.81839549420218     ,  452315.55155012727     ) ( -2.0927977408937264     ,  12.761211220413912     ) ( -8.3034051405662392     , -1.4485368887121493     ) (  84263.185231432100     , -34026.636377883988     ) ( -3095.2576464836511     , -261955.33603168849     ) (-1.75419473032111368E-009, 4.53307532474807055E-010) (  591.40259588044012     , 6.74690280892736051E-011) (-1.21394344471270781E-010,-3.21794687987015022E-010) ( 7.14244238062361777E-011, 7.94596336365712038E-011) ( -8.7919445880762375     , -72.722548184769948     ) (  277.23512864358065     ,  3.3095050812278890     ) (-6.04019117486827016E-011, 6.86554045985285639E-011) ( 2.09368098514265396E-010,-2.22188784666874205E-010) ( -286425.72230406001     ,  11314.846224136631     ) ( -18238.919814856672     , -73659.772871235473     )
 ( 2.00957554367465223E-011, 1.84815062295324669E-010) ( 1.30576696252059351E-011, 4.40876738814929852E-012) (-3.22325221605828568E-011,-4.88167648973732000E-011) (-1.27418580666835876E-012,-2.67677533427790417E-011) (-4.48968915773236871E-011, 9.62304841350082045E-012) ( 1.21527475717842188E-010,-1.05004047787117660E-010) ( 2.25446468413484544E-012, 1.69370387735920182E-010) (-1.17774719114246711E-010, 3.21316026454197121E-010) ( -66.771833843913811     ,-1.05420356389490210E-011) ( 4.21681425557960517E-012,-4.21681425557960436E-012) ( 1.72333720051928166E-010,-3.78120957578494104E-012) (-7.55979392741515870E-011, 2.06933569599643377E-010) (  160582.47819947507     ,  62461.694486111788     ) ( -173631.67361836528     ,  268489.31663596310     ) (-1.74136251453358972E-010, 1.04083426367981988E-010) ( 2.01062302292706460E-011, 2.45675314752796966E-011)
 (-1.68013692995747596E-012,-6.87867825441422120E-011) (-6.81644043512607427E-012,-2.06779700281394195E-010) ( 5.11638114834806998E-011, 1.88208911616860475E-011) (-2.04619936550811849E-011, 6.62764472389268163E-011) (-9.60085891957625344E-011, 1.01805561894504671E-012) (-1.03434218783334680E-010,-1.07862709324147793E-010) ( 1.05789898805147555E-010, 1.28206038309048936E-010) ( 7.92518412171816795E-011,-7.80630303232928836E-011) (-4.21681425557957528E-012, 2.10840712778980517E-011) ( -66.771833843921982     ,-8.43362851115919579E-012) ( 8.67987431908366370E-012, 2.56421517475119614E-010) ( 1.35875427128921013E-010, 1.32229556462852909E-011) (  173631.67361836534     ,  268489.31663596275     ) (  160582.47819947507     , -62461.694486112021     ) ( 2.99097980311381935E-010,-2.18161877475414293E-010) ( 2.90236744388745664E-011,-1.00914502047732875E-010)
