 (-2.25438575149194932E-004,  0.0000000000000000     ) (-0.43897616720425509     ,-0.89795578224413153     ) (-2.50670491667089892E-008, 3.16401897717188355E-009) (-8.99386680011931162E-006, 2.54713002811158369E-006) ( 4.29380116101886825E-006, 3.37709368661526059E-006) (-2.67694630416486987E-006,-2.23300331663811927E-006) (-4.49664372323374528E-003,-8.98546447352755774E-003) ( 2.50074550497991072E-002,-4.80972566565502583E-003) (-3.33916656501068859E-007, 4.61215510764089939E-006) (-2.85938181555055182E-007, 2.23513795090295522E-005) (-1.42170838012259078E-003,-5.62660936788775441E-003) ( 3.13374884802699672E-003, 2.28564344289619364E-003) ( 2.63614677458919727E-003,-6.13503637048669944E-003) ( 7.43418594212055892E-004,-1.14872258580163301E-002) ( 1.48414058450611463E-006, 4.33708585380158940E-006) (-6.41400689120250316E-006,-5.10242572047926116E-006)
 (-0.43897616720425509     , 0.89795578224413153     ) ( 2.25438575138187732E-004,  0.0000000000000000     ) (-8.99386679971948496E-006,-2.54713002877744645E-006) ( 2.50670502861816136E-008, 3.16401232709588587E-009) (-2.67694630412280282E-006, 2.23300331660819529E-006) (-4.29380116079985941E-006, 3.37709368674644905E-006) ( 2.50074550493632475E-002, 4.80972566465424824E-003) ( 4.49664372280661473E-003,-8.98546447346795091E-003) (-2.85938182500479476E-007,-2.23513795081752009E-005) ( 3.33916656811150681E-007, 4.61215510728918421E-006) ( 3.13374884786968982E-003,-2.28564344295136349E-003) ( 1.42170837988870452E-003,-5.62660936780185611E-003) ( 7.43418594601519961E-004, 1.14872258577117942E-002) (-2.63614677474248785E-003,-6.13503637024379912E-003) (-6.41400689076459390E-006, 5.10242572065826294E-006) (-1.48414058422519785E-006, 4.33708585394383672E-006)
 (-2.50670491152432673E-008,-3.16401897704991081E-009) (-8.99386679971951207E-006, 2.54713002877733803E-006) (-3.43653856696522232E-004,  0.0000000000000000     ) (-9.87945712278761323E-002,-0.99450984675781551     ) (-1.98446097112719780E-002, 1.33873585473488852E-003) ( 4.07124637915257104E-003,-1.48265608187601386E-002) ( 4.44611428437619721E-006,-3.52828560036717864E-006) ( 2.40053712527790730E-007,-8.08096595705017767E-006) (-1.30583316818674248E-002, 2.96613720036154743E-003) (-5.31030774709484454E-003, 5.72559825740698650E-003) (-2.14899774126156573E-006, 4.43210297838194517E-005) ( 3.13623210392642397E-005,-3.95960310380430447E-006) ( 2.18685584517201714E-006, 5.19481890919222533E-006) (-1.85896775902827729E-006,-2.39369264352570776E-006) ( 9.22984598097668224E-003,-1.26507559209813637E-002) ( 1.04349577124376153E-003,-8.42929408967657556E-003)
 (-8.99386680011931162E-006,-2.54713002811142106E-006) ( 2.50670502831932813E-008,-3.16401232702812323E-009) (-9.87945712278761323E-002, 0.99450984675781540     ) ( 3.43653856696510957E-004,  0.0000000000000000     ) ( 4.07124637913683276E-003, 1.48265608187563760E-002) ( 1.98446097112808841E-002, 1.33873585475375190E-003) ( 2.40053712615177425E-007, 8.08096595724923719E-006) (-4.44611428430442303E-006,-3.52828560049554818E-006) (-5.31030774709508827E-003,-5.72559825740739763E-003) ( 1.30583316818671056E-002, 2.96613720036148412E-003) ( 3.13623210389636989E-005, 3.95960310344456619E-006) ( 2.14899774080967026E-006, 4.43210297839599643E-005) (-1.85896775883312090E-006, 2.39369264372487570E-006) (-2.18685584503193822E-006, 5.19481890929782662E-006) ( 1.04349577124222999E-003, 8.42929408967693465E-003) (-9.22984598097461272E-003,-1.26507559209829666E-002)
 ( 4.29380116102190401E-006,-3.37709368661547743E-006) (-2.67694630411456289E-006,-2.23300331658087339E-006) (-1.98446097112719572E-002,-1.33873585473487855E-003) ( 4.07124637913683276E-003,-1.48265608187563777E-002) ( 0.61054615612254670     ,-6.93889390390722838E-018) (-0.46543807779931462     , 3.07880350835594563E-002) ( 3.64305089909977564E-004, 2.40797763664035713E-004) (-2.44242129661773055E-004, 2.32871576978661843E-004) (-0.36933232504000352     , 4.35365166923934940E-002) ( 0.22399744390229953     ,-0.36408522843508712     ) ( 3.20658892195568868E-004,-7.73827591012715699E-004) ( 1.70014580662735879E-003, 8.23042228777631779E-004) ( 5.17772488940054787E-006,-4.75960175356227033E-005) ( 9.84629348453665981E-005, 1.18201223122588184E-004) ( 0.11249736855124898     , 0.14129695568054351     ) (-0.22514400890496597     , 6.83466579727215473E-002)
 (-2.67694630416790563E-006, 2.23300331663248142E-006) (-4.29380116080224465E-006,-3.37709368674709957E-006) ( 4.07124637915257017E-003, 1.48265608187601421E-002) ( 1.98446097112808736E-002,-1.33873585475375017E-003) (-0.46543807779931468     ,-3.07880350835594563E-002) (-0.61054615612317498     , 6.93889390390722838E-018) (-2.44242129663885948E-004,-2.32871576976607930E-004) (-3.64305089910824109E-004, 2.40797763669260700E-004) ( 0.22399744390275994     , 0.36408522843507873     ) ( 0.36933232504022184     , 4.35365166920715294E-002) ( 1.70014580663130355E-003,-8.23042228761214356E-004) (-3.20658892215483493E-004,-7.73827591011522209E-004) ( 9.84629348444732155E-005,-1.18201223123457280E-004) (-5.17772489037893191E-006,-4.75960175337734881E-005) (-0.22514400890513736     ,-6.83466579725865719E-002) (-0.11249736855119792     , 0.14129695568069944     )
 (-4.49664372323374528E-003, 8.98546447352755948E-003) ( 2.50074550493632336E-002,-4.80972566465424911E-003) ( 4.44611428437055936E-006, 3.52828560037693646E-006) ( 2.40053712616261627E-007,-8.08096595724793615E-006) ( 3.64305089909991442E-004,-2.40797763664042652E-004) (-2.44242129663882479E-004, 2.32871576976600991E-004) (-0.60263365319335405     , 3.46944695195361419E-018) ( 7.37151040043868694E-002,-0.48595364477438291     ) (-3.56789353523845332E-004, 3.00673007144584836E-004) ( 1.45086230487881385E-003,-7.65910720778577303E-004) (-0.28049289241631248     , 0.27684919262985608     ) (-0.16919942531877891     ,-0.16324508846417102     ) (-0.11686019111674532     ,-6.86315629083205508E-002) (-0.36812205185384955     ,-0.17324990563210349     ) ( 1.04243012621824116E-004,-1.46182835705013781E-005) (-1.22652716519424526E-004, 2.61831256453508299E-005)
 ( 2.50074550497991141E-002, 4.80972566565502149E-003) ( 4.49664372280661386E-003, 8.98546447346794917E-003) ( 2.40053712529525454E-007, 8.08096595704865979E-006) (-4.44611428430550723E-006, 3.52828560050075235E-006) (-2.44242129661769586E-004,-2.32871576978661843E-004) (-3.64305089910817170E-004,-2.40797763669267639E-004) ( 7.37151040043868833E-002, 0.48595364477438285     ) ( 0.60263365319329421     ,  0.0000000000000000     ) ( 1.45086230488516293E-003, 7.65910720770243691E-004) ( 3.56789353532787831E-004, 3.00673007163583528E-004) (-0.16919942531875171     , 0.16324508846416086     ) ( 0.28049289241632969     , 0.27684919262984586     ) (-0.36812205185383595     , 0.17324990563214079     ) ( 0.11686019111672623     ,-6.86315629083245893E-002) (-1.22652716520326582E-004,-2.61831256437999871E-005) (-1.04243012622817679E-004,-1.46182835711154702E-005)
 (-3.33916656488492114E-007,-4.61215510764306780E-006) (-2.85938182500045796E-007, 2.23513795081747672E-005) (-1.30583316818674213E-002,-2.96613720036154613E-003) (-5.31030774709509174E-003, 5.72559825740738548E-003) (-0.36933232504000357     ,-4.35365166923934871E-002) ( 0.22399744390275997     ,-0.36408522843507873     ) (-3.56789353523834923E-004,-3.00673007144564020E-004) ( 1.45086230488521151E-003,-7.65910720770243691E-004) (-0.16494106778003814     ,  0.0000000000000000     ) (-0.14802912445081073     ,-0.61776793008348529     ) (-3.02389301575986535E-004,-1.25336903406507438E-003) (-8.14492498472936532E-004,-5.85922019023049634E-004) ( 4.79995465672913846E-005, 5.86003841978960383E-004) ( 1.35018721697102023E-003, 1.05649490194603679E-003) (-0.23089808199082085     , 0.31908355852981451     ) (-0.25672999278544517     , 0.16407988771040100     )
 (-2.85938181550718373E-007,-2.23513795090286849E-005) ( 3.33916656807247553E-007,-4.61215510728744948E-006) (-5.31030774709484107E-003,-5.72559825740698476E-003) ( 1.30583316818671091E-002,-2.96613720036148672E-003) ( 0.22399744390229950     , 0.36408522843508706     ) ( 0.36933232504022184     ,-4.35365166920715432E-002) ( 1.45086230487877915E-003, 7.65910720778577303E-004) ( 3.56789353532796505E-004,-3.00673007163576589E-004) (-0.14802912445081073     , 0.61776793008348529     ) ( 0.16494106778002693     , 6.93889390390722838E-018) (-8.14492498481325655E-004, 5.85922019027851348E-004) ( 3.02389301547564826E-004,-1.25336903405881550E-003) ( 1.35018721698250757E-003,-1.05649490193178951E-003) (-4.79995465485216766E-005, 5.86003841977669748E-004) (-0.25672999278541320     ,-0.16407988771044160     ) ( 0.23089808199075645     , 0.31908355852983816     )
