 (-9.59166037419694835E-016, 3.85185988877447171E-034) ( 0.29487936580030766     , 0.95533033786293398     ) ( 3.08207105670366133E-011, 1.21146947443424857E-009) (-1.15610542059801924E-009, 3.56849220312094317E-010) (-6.97766925280298182E-004, 9.82279302122187475E-004) ( 4.00006566585371648E-003, 1.27816596221431919E-002) (-2.14935003209348885E-006,-3.19222772462469939E-006) (-1.44805836317790648E-005, 4.47609585972619239E-006) (-5.93348428728278192E-003,-1.09432653952769438E-002) ( 6.30943284152338506E-003, 5.48973231472461441E-004) (-6.58716643405811431E-008, 5.82441915478876249E-008) (-1.83547860865829193E-006, 5.66566457235739840E-007) ( 4.38219417362934896E-007,-2.18564291175217018E-007) ( 3.23792416407839072E-006, 6.95862266030702790E-010) (-3.55372679063115093E-003, 1.25685685039057110E-003) (-1.16326114374079473E-005,-3.76742262430957830E-005)
 ( 0.29487936580030766     ,-0.95533033786293398     ) ( 9.38126591066017465E-016,  0.0000000000000000     ) (-1.15610576354030364E-009,-3.56849135946776336E-010) (-3.08221014287116472E-011, 1.21146980222531798E-009) ( 4.00006566585337474E-003,-1.27816596221426489E-002) ( 6.97766925280325612E-004, 9.82279302122345986E-004) (-1.44805836317537284E-005,-4.47609585972290421E-006) ( 2.14935003201143889E-006,-3.19222772452957209E-006) ( 6.30943284152333649E-003,-5.48973231472460140E-004) ( 5.93348428728274722E-003,-1.09432653952768744E-002) (-1.83547860857758812E-006,-5.66566457504729340E-007) ( 6.58716643050403553E-008, 5.82441916708542367E-008) ( 3.23792416404367719E-006,-6.95862109687667152E-010) (-4.38219417343924935E-007,-2.18564291159714912E-007) (-1.16326114374214591E-005, 3.76742262430724523E-005) ( 3.55372679063098180E-003, 1.25685685039053836E-003)
 ( 3.08207353815100846E-011,-1.21146947532197591E-009) (-1.15610575626701184E-009, 3.56849130106473567E-010) (-0.99932367068321148     ,  0.0000000000000000     ) (-2.40417711284365634E-002, 8.41530314466703774E-003) ( 4.33654024409920597E-007, 1.03912431741984453E-005) ( 8.72372407775823255E-006,-3.50499633725367965E-006) (-5.40869637436973590E-003,-1.14712245113597448E-003) (-1.47524252201773273E-003,-8.18786968609103161E-003) (-3.85933710604955415E-006, 1.86868491258698823E-006) (-5.04652932131677152E-007, 1.33772887219717639E-006) (-1.15545868792173503E-002,-6.69492218792237847E-004) (-2.84116249871291596E-003,-1.04790344672852503E-002) ( 1.35174240535443409E-002,-1.77980045936310637E-003) (-1.95234919382362548E-003, 1.27298977516898393E-002) (-5.50429697654397643E-009,-1.53781263417807068E-008) ( 1.66500983585899341E-008, 1.03853260735066455E-009)
 (-1.15610542639527796E-009,-3.56849192313501775E-010) (-3.08221052847112986E-011,-1.21146980218856531E-009) (-2.40417711284365634E-002,-8.41530314466706550E-003) ( 0.99932367068320227     ,  0.0000000000000000     ) ( 8.72372407773546431E-006, 3.50499633722006938E-006) (-4.33654024398211213E-007, 1.03912431741092154E-005) (-1.47524252201783248E-003, 8.18786968609140631E-003) ( 5.40869637436931783E-003,-1.14712245113605992E-003) (-5.04652932083323853E-007,-1.33772887219848781E-006) ( 3.85933710611663323E-006, 1.86868491244965856E-006) (-2.84116249871286695E-003, 1.04790344672850110E-002) ( 1.15545868792175307E-002,-6.69492218792363072E-004) (-1.95234919382366364E-003,-1.27298977516898029E-002) (-1.35174240535442924E-002,-1.77980045936306885E-003) ( 1.66500983963743798E-008,-1.03853262101161192E-009) ( 5.50429693556113431E-009,-1.53781263804359024E-008)
 (-6.97766925280298832E-004,-9.82279302122188343E-004) ( 4.00006566585337474E-003, 1.27816596221426437E-002) ( 4.33654024415558448E-007,-1.03912431741990958E-005) ( 8.72372407773221170E-006,-3.50499633722592407E-006) (-7.50820058303986772E-003,-8.67361737988403547E-019) ( 2.24963849807359242E-002, 6.90844875679797465E-002) ( 1.42446276015634893E-004, 1.04192675690830891E-004) ( 6.34108439277133312E-004,-1.82944444763771807E-004) ( 0.38929675925408425     , 0.78272728451822493     ) (-0.40196263601252935     , 3.42031029992182142E-002) (-5.29113056475646534E-005, 4.06266702739277105E-005) (-4.67672446820301818E-004, 1.46597057128702857E-004) ( 9.63368513259385442E-005,-7.07930632465881134E-005) ( 5.01430900593209032E-004, 1.15649471402101039E-006) ( 0.24350672962113487     ,-8.74430743684216777E-002) (-1.87032088535184216E-002, 1.52860206378621407E-002)
 ( 4.00006566585371561E-003,-1.27816596221431971E-002) ( 6.97766925280325721E-004,-9.82279302122346636E-004) ( 8.72372407775801571E-006, 3.50499633725931750E-006) (-4.33654024393657564E-007,-1.03912431741091070E-005) ( 2.24963849807359277E-002,-6.90844875679797882E-002) ( 7.50820058304109937E-003,-8.67361737988403547E-019) ( 6.34108439277838911E-004, 1.82944444761415511E-004) (-1.42446276011254716E-004, 1.04192675688459524E-004) (-0.40196263601254445     ,-3.42031029992244454E-002) (-0.38929675925410884     , 0.78272728451825024     ) (-4.67672446820280134E-004,-1.46597057127172885E-004) ( 5.29113056455181134E-005, 4.06266702753241629E-005) ( 5.01430900592870436E-004,-1.15649471679608281E-006) (-9.63368513231127068E-005,-7.07930632473304395E-005) (-1.87032088535189663E-002,-1.52860206378628884E-002) (-0.24350672962114334     ,-8.74430743684281586E-002)
 (-2.14935003208691799E-006, 3.19222772462547231E-006) (-1.44805836317547787E-005, 4.47609585974007018E-006) (-5.40869637436976192E-003, 1.14712245113597448E-003) (-1.47524252201782988E-003,-8.18786968609140631E-003) ( 1.42446276015635760E-004,-1.04192675690827422E-004) ( 6.34108439277837610E-004,-1.82944444761426461E-004) ( 0.28338177566291822     ,  0.0000000000000000     ) (-0.23258713519702634     ,-0.61538509642036376     ) (-6.46611367931185688E-004, 4.32651490806599127E-004) ( 1.92717058228811873E-004,-5.89129616477606570E-004) (-7.86670699174419064E-002,-4.69224076207471405E-002) ( 0.13153607120668648     , 0.42120949094244259     ) ( 8.95982292201184666E-002,-3.16378768717793940E-002) (-1.43602318374872803E-002,-0.52388303367777889     ) ( 9.78481784574825042E-005, 2.78189695177233354E-004) ( 5.73256157882762706E-005, 4.51425401597500137E-005)
 (-1.44805836317768253E-005,-4.47609585973141435E-006) ( 2.14935003201022212E-006, 3.19222772453102432E-006) (-1.47524252201773707E-003, 8.18786968609101773E-003) ( 5.40869637436931783E-003, 1.14712245113606122E-003) ( 6.34108439277133312E-004, 1.82944444763769856E-004) (-1.42446276011252981E-004,-1.04192675688452585E-004) (-0.23258713519702631     , 0.61538509642036365     ) (-0.28338177566289702     ,  0.0000000000000000     ) ( 1.92717058229609412E-004, 5.89129616473806875E-004) ( 6.46611367928367304E-004, 4.32651490811940449E-004) ( 0.13153607120667971     ,-0.42120949094242033     ) ( 7.86670699174401161E-002,-4.69224076207463703E-002) (-1.43602318374878319E-002, 0.52388303367775846     ) (-8.95982292201148167E-002,-3.16378768717787001E-002) ( 5.73256157876955719E-005,-4.51425401610527910E-005) (-9.78481784585310361E-005, 2.78189695176799998E-004)
 (-5.93348428728278192E-003, 1.09432653952769472E-002) ( 6.30943284152333736E-003, 5.48973231472460249E-004) (-3.85933710604893497E-006,-1.86868491258671421E-006) (-5.04652932082527748E-007, 1.33772887219841370E-006) ( 0.38929675925408425     ,-0.78272728451822493     ) (-0.40196263601254445     , 3.42031029992244315E-002) (-6.46611367931163462E-004,-4.32651490806595929E-004) ( 1.92717058229608355E-004,-5.89129616473803839E-004) (-8.60422844084496417E-016,-4.25037862309366001E-032) (-3.88578058618804789E-016, 3.60822483003175876E-016) ( 4.79369417069708018E-005, 2.69534973124884525E-005) (-3.87977088120339997E-006, 2.54272161987008714E-005) (-2.91433543964103690E-016,-2.77555756156287687E-017) ( 1.00613961606655009E-016,-4.51028103753969906E-017) ( 4.45683902357414067E-003,-0.12003742393141639     ) ( 0.20791365643428589     , 0.12324454709531357     )
 ( 6.30943284152338506E-003,-5.48973231472461333E-004) ( 5.93348428728274549E-003, 1.09432653952768761E-002) (-5.04652932132408988E-007,-1.33772887219719863E-006) ( 3.85933710611683737E-006,-1.86868491245181553E-006) (-0.40196263601252930     ,-3.42031029992182073E-002) (-0.38929675925410884     ,-0.78272728451825024     ) ( 1.92717058228811602E-004, 5.89129616477616002E-004) ( 6.46611367928380532E-004,-4.32651490811974818E-004) (-3.88578058618804789E-016,-3.74700270810990332E-016) ( 2.49800180540660222E-016,-6.94866444122524897E-035) (-3.87977088087161970E-006,-2.54272161987818308E-005) (-4.79369417073290222E-005, 2.69534973120467587E-005) ( 3.74700270810990332E-016, 1.59594559789866253E-016) (-1.76941794549634348E-016,-1.02348685082631643E-016) ( 0.20791365643428616     ,-0.12324454709531342     ) (-4.45683902357408256E-003,-0.12003742393141630     )
