 (-1.17796145937731553E-004, 5.42101086242752217E-020) (-0.89797068377825673     , 0.43919235391505429     ) ( 2.28976443409186414E-008,-2.97499258538266322E-008) (-5.18766735978438065E-006, 1.48798801906878907E-006) (-2.81593607216962596E-007, 3.96522964689035098E-006) ( 8.28902242041521659E-007, 5.24679119481537629E-006) (-3.77221433896127341E-003,-2.44713588690113545E-003) (-6.96306741063030220E-004,-2.38989883753922550E-002) ( 4.48142793030509648E-006,-2.83053555964968631E-006) (-1.38613118448429121E-005,-3.48037100683553768E-005) ( 6.95647442089966650E-003, 5.82569597426394262E-003) (-3.40931358622509166E-003, 2.93689432995998230E-003) ( 3.91022153497921909E-003,-1.96154544340203241E-003) (-1.07676603122511174E-003,-6.63100760614707130E-003) ( 4.42018139667522958E-006,-2.22662721799133257E-006) (-2.91779304938154845E-006, 9.71509286744863271E-006)
 (-0.89797068377825673     ,-0.43919235391505429     ) ( 1.17796145931996503E-004,  0.0000000000000000     ) (-5.18766735974594568E-006,-1.48798801881088447E-006) (-2.28976376876171422E-008,-2.97499247424448665E-008) ( 8.28902241879758694E-007,-5.24679119470999183E-006) ( 2.81593607274858992E-007, 3.96522964667134215E-006) (-6.96306740201094480E-004, 2.38989883748377818E-002) ( 3.77221433878285189E-003,-2.44713588697490674E-003) (-1.38613118430240545E-005, 3.48037100682150810E-005) (-4.48142793063599498E-006,-2.83053555923118427E-006) (-3.40931358624630906E-003,-2.93689432976783002E-003) (-6.95647442052488643E-003, 5.82569597436911196E-003) (-1.07676603096391963E-003, 6.63100760602470043E-003) (-3.91022153495373254E-003,-1.96154544321549759E-003) (-2.91779304972643316E-006,-9.71509286698795521E-006) (-4.42018139663012677E-006,-2.22662721780907819E-006)
 ( 2.28976443410406141E-008, 2.97499259133832128E-008) (-5.18766735974594568E-006, 1.48798801881085737E-006) (-1.85033998998996294E-004,  0.0000000000000000     ) ( 0.99473771795184440     ,-9.84770353422510236E-002) (-1.10014739997802841E-002,-5.57846351924146978E-003) ( 5.19875972172800099E-003,-7.50814321183372081E-003) (-1.72385960843339514E-006, 9.75428614949803291E-006) ( 1.66676423851274541E-006,-3.49386653310072848E-006) (-7.39135578046500041E-003,-4.70994760722284224E-003) ( 2.72284989065084068E-003, 6.09512084730119003E-003) ( 3.17333463297451990E-006, 2.51224142660509686E-005) ( 1.82726039537131624E-006, 3.36696109492300687E-005) (-1.58699699564016083E-007, 3.40680528727703436E-006) (-2.02391470750101776E-006,-2.78395741541790503E-007) ( 1.04537806616640978E-002, 1.61564015276804696E-002) ( 8.41063079919748824E-003, 1.06259613087347055E-003)
 (-5.18766735978432644E-006,-1.48798801906878907E-006) (-2.28976376876849049E-008, 2.97499247394565343E-008) ( 0.99473771795184429     , 9.84770353422510236E-002) ( 1.85033998999009576E-004,  0.0000000000000000     ) ( 5.19875972171859359E-003, 7.50814321183471568E-003) ( 1.10014739997910897E-002,-5.57846351923411629E-003) ( 1.66676423851144437E-006, 3.49386653311005262E-006) ( 1.72385960839176178E-006, 9.75428614951169386E-006) ( 2.72284989065064856E-003,-6.09512084730144243E-003) ( 7.39135578046492495E-003,-4.70994760722266183E-003) ( 1.82726039535635425E-006,-3.36696109493692802E-005) (-3.17333463321217701E-006, 2.51224142663658209E-005) (-2.02391470756487727E-006, 2.78395741634598209E-007) ( 1.58699699664846886E-007, 3.40680528727660067E-006) ( 8.41063079919782304E-003,-1.06259613087206326E-003) (-1.04537806616668977E-002, 1.61564015276786967E-002)
 (-2.81593607216745756E-007,-3.96522964688644786E-006) ( 8.28902241852436800E-007, 5.24679119471649705E-006) (-1.10014739997802875E-002, 5.57846351924149407E-003) ( 5.19875972171859532E-003,-7.50814321183471654E-003) ( 0.35305190369463324     ,-2.77555756156289135E-017) ( 0.70335081824456025     , 0.29912225519405872     ) ( 2.54536174036978924E-004,-2.19366245810440064E-004) ( 4.89861662211717175E-004, 1.14271191023584961E-004) (-0.22179513868511416     ,-3.57991427036973842E-002) (-3.36665342037313353E-002,-0.26888982840656450     ) (-7.30442059728927950E-004,-3.74391044610206114E-004) ( 1.12409727541676330E-003, 6.06877701236734068E-005) (-4.42312937319888633E-005,-9.67064404115008935E-006) ( 1.07152018808787108E-004,-1.65269342879484360E-007) (-4.63329398690754957E-002,-0.29028827401269719     ) ( 0.16817716293931090     , 0.22876312143562197     )
 ( 8.28902242035883807E-007,-5.24679119481234052E-006) ( 2.81593607274642152E-007,-3.96522964667372739E-006) ( 5.19875972172800099E-003, 7.50814321183372081E-003) ( 1.10014739997910914E-002, 5.57846351923411282E-003) ( 0.70335081824456025     ,-0.29912225519405883     ) (-0.35305190369499651     ,  0.0000000000000000     ) ( 4.89861662210620830E-004,-1.14271191029236691E-004) (-2.54536174039164675E-004,-2.19366245808566562E-004) (-3.36665342034999579E-002, 0.26888982840674275     ) ( 0.22179513868518777     ,-3.57991427039206986E-002) ( 1.12409727541219751E-003,-6.06877701151420368E-005) ( 7.30442059720698422E-004,-3.74391044610414281E-004) ( 1.07152018807699437E-004, 1.65269341295681826E-007) ( 4.42312937316870214E-005,-9.67064404248929588E-006) ( 0.16817716293922580     ,-0.22876312143587091     ) ( 4.63329398688780980E-002,-0.29028827401287777     )
 (-3.77221433896127341E-003, 2.44713588690113892E-003) (-6.96306740201100768E-004,-2.38989883748377888E-002) (-1.72385960844315296E-006,-9.75428614950367076E-006) ( 1.66676423851274541E-006,-3.49386653311113682E-006) ( 2.54536174036985863E-004, 2.19366245810440064E-004) ( 4.89861662210627768E-004, 1.14271191029233221E-004) (-0.23865140624358369     ,-6.93889390390722838E-018) (-0.59435578527503452     ,-0.11664790103678828     ) (-2.23991054376003473E-004,-4.48442427501541396E-004) (-2.38774540975122962E-003,-6.60476373299467845E-004) ( 0.65253262564766346     ,-0.10484230728542032     ) (-4.48116365864396626E-002, 0.22382483135385850     ) ( 0.10443357432996868     ,-0.15404200197050358     ) (-0.22787026835987437     ,-1.11696661783217896E-002) (-4.96065853927002420E-006,-6.96213289334279839E-005) ( 1.84330048578564692E-004, 1.02002001996979313E-004)
 (-6.96306741063034340E-004, 2.38989883753922619E-002) ( 3.77221433878285146E-003, 2.44713588697490977E-003) ( 1.66676423851773274E-006, 3.49386653309899375E-006) ( 1.72385960842472152E-006,-9.75428614951754855E-006) ( 4.89861662211717175E-004,-1.14271191023595370E-004) (-2.54536174039171614E-004, 2.19366245808573501E-004) (-0.59435578527503441     , 0.11664790103678827     ) ( 0.23865140624356002     ,-6.93889390390722838E-018) (-2.38774540975088267E-003, 6.60476373308314935E-004) ( 2.23991054348442187E-004,-4.48442427513512723E-004) (-4.48116365864458660E-002,-0.22382483135383086     ) (-0.65253262564767767     ,-0.10484230728539005     ) (-0.22787026835987531     , 1.11696661783432395E-002) (-0.10443357432997250     ,-0.15404200197047702     ) ( 1.84330048578998373E-004,-1.02002001996431141E-004) ( 4.96065853942614932E-006,-6.96213289317986449E-005)
 ( 4.48142793031333642E-006, 2.83053555963710957E-006) (-1.38613118430236208E-005,-3.48037100682146473E-005) (-7.39135578046500215E-003, 4.70994760722284224E-003) ( 2.72284989065063598E-003, 6.09512084730144416E-003) (-0.22179513868511413     , 3.57991427036973564E-002) (-3.36665342034999648E-002,-0.26888982840674275     ) (-2.23991054376003473E-004, 4.48442427501537927E-004) (-2.38774540975086880E-003,-6.60476373308307996E-004) (-5.18198536777050300E-002,  0.0000000000000000     ) ( 0.74945514965461224     , 2.22527976775677844E-002) ( 4.93225722108053821E-004,-7.36683470021690101E-004) (-6.22464257515137342E-004,-2.32321828344816961E-005) ( 3.62048277159687792E-004, 2.35459211225065579E-004) ( 6.37017458891719901E-004, 7.65568247853586070E-004) (-0.26151743501703623     ,-0.42542691163007224     ) ( 7.14858402689738798E-002, 0.23792200989551668     )
 (-1.38613118448420447E-005, 3.48037100683564610E-005) (-4.48142793063079081E-006, 2.83053555922728114E-006) ( 2.72284989065083981E-003,-6.09512084730119176E-003) ( 7.39135578046492235E-003, 4.70994760722266530E-003) (-3.36665342037313006E-002, 0.26888982840656450     ) ( 0.22179513868518774     , 3.57991427039206916E-002) (-2.38774540975120880E-003, 6.60476373299460906E-004) ( 2.23991054348449126E-004, 4.48442427513517927E-004) ( 0.74945514965461224     ,-2.22527976775677774E-002) ( 5.18198536777010887E-002,  0.0000000000000000     ) (-6.22464257504229401E-004, 2.32321828492754179E-005) (-4.93225722132284439E-004,-7.36683470017415742E-004) ( 6.37017458900107289E-004,-7.65568247849939681E-004) (-3.62048277149154552E-004, 2.35459211222782683E-004) ( 7.14858402690119882E-002,-0.23792200989550039     ) ( 0.26151743501709468     ,-0.42542691163000851     )
