 (-1.59967947214640305E-016,  0.0000000000000000     ) (-0.95533033786293398     , 0.29487936580030766     ) (-1.21146952083810155E-009, 3.08210783284135204E-011) (-3.56848852550717410E-010,-1.15610547784389395E-009) (-9.82279302122192680E-004,-6.97766925280278666E-004) (-1.27816596221431780E-002, 4.00006566585370954E-003) ( 3.19222772461429105E-006,-2.14935003205879438E-006) (-4.47609585975394797E-006,-1.44805836317721259E-005) (-1.09432653952770045E-002, 5.93348428728278105E-003) ( 5.48973231472463176E-004,-6.30943284152340675E-003) (-5.82441915426834544E-008,-6.58716643414485048E-008) (-5.66566457235739840E-007,-1.83547860865135304E-006) (-2.18564291061271340E-007,-4.38219417321228688E-007) ( 6.95862262125410238E-010,-3.23792416399113447E-006) (-1.25685685039057110E-003,-3.55372679063117869E-003) ( 3.76742262431083597E-005,-1.16326114374005747E-005)
 (-0.95533033786293398     ,-0.29487936580030766     ) ( 1.73727418150399976E-016,  0.0000000000000000     ) (-3.56849603049850167E-010, 1.15610567266588710E-009) ( 1.21146977374571573E-009, 3.08216303570315805E-011) (-1.27816596221426940E-002,-4.00006566585337821E-003) ( 9.82279302122337746E-004,-6.97766925280303711E-004) (-4.47609585970172500E-006, 1.44805836317766457E-005) (-3.19222772448043486E-006,-2.14935003200900536E-006) ( 5.48973231472451575E-004, 6.30943284152335384E-003) ( 1.09432653952768830E-002, 5.93348428728272294E-003) (-5.66566457494106276E-007, 1.83547860860021787E-006) ( 5.82441916218121276E-008,-6.58716643258149500E-008) ( 6.95862104483496724E-010, 3.23792416403612335E-006) ( 2.18564291118732070E-007,-4.38219417317849873E-007) ( 3.76742262431451345E-005, 1.16326114374507055E-005) ( 1.25685685039053445E-003,-3.55372679063101476E-003)
 (-1.21146951995037422E-009,-3.08210535139400490E-011) (-3.56849608890152936E-010,-1.15610567993917890E-009) (-2.54218623938949825E-002,  0.0000000000000000     ) ( 0.96207057899756732     ,-0.27031565402965230     ) ( 9.36324148108390666E-006, 1.01350508938590975E-006) ( 2.38813172305160637E-006, 1.01071111054864410E-005) ( 7.93060487130457445E-004, 8.29028246069397901E-003) ( 4.88357014959668601E-003,-2.56523902645160520E-003) ( 8.44751907020514794E-007, 1.14514662605437379E-006) (-4.22310231776851479E-006,-7.55711288692303846E-007) ( 9.86864768417773913E-005, 1.08753610557911842E-002) ( 1.09258240968012482E-002,-3.76592832941335942E-003) ( 5.32629646696256270E-003, 1.17486004922063552E-002) ( 1.34744903171976592E-002,-1.94665610057004248E-003) ( 1.57236453024456324E-008,-5.49547467254551947E-009) ( 1.14033889254093468E-009,-1.63203782819359468E-008)
 (-3.56848880549309953E-010, 1.15610547204663523E-009) ( 1.21146977378246840E-009,-3.08216265010319290E-011) ( 0.96207057899756732     , 0.27031565402965230     ) ( 2.54218623938947952E-002,  0.0000000000000000     ) ( 2.38813172306439996E-006,-1.01071111055768634E-005) (-9.36324148112478109E-006, 1.01350508938113926E-006) ( 4.88357014959710234E-003, 2.56523902645167806E-003) (-7.93060487130451590E-004, 8.29028246069359043E-003) (-4.22310231775338763E-006, 7.55711288758420273E-007) (-8.44751906919882832E-007, 1.14514662611895773E-006) ( 1.09258240968009325E-002, 3.76592832941314952E-003) (-9.86864768418539359E-005, 1.08753610557913230E-002) ( 1.34744903171976297E-002, 1.94665610057000692E-003) (-5.32629646696255923E-003, 1.17486004922062980E-002) ( 1.14033890663556292E-009, 1.63203782649681828E-008) (-1.57236452776682246E-008,-5.49547460250605913E-009)
 (-9.82279302122191812E-004, 6.97766925280278016E-004) (-1.27816596221426992E-002, 4.00006566585337821E-003) ( 9.36324148108368982E-006,-1.01350508938807815E-006) ( 2.38813172305854526E-006, 1.01071111055766466E-005) (-1.06576339909682551E-002,-6.50521303491302660E-019) (-6.90421298382321857E-002, 2.13243049322233737E-002) (-1.72871503036941751E-004, 4.56810451520441030E-005) ( 2.11501345761505588E-004, 6.24503886411675174E-004) ( 0.71673239027921165     ,-0.43131632792934171     ) (-0.10619762128304146     , 0.46469425746391890     ) ( 1.06517554935578809E-005, 1.92768082573841273E-005) (-1.47374510609379894E-004,-4.71650342593190469E-004) ( 1.72367231338071055E-006,-4.08019863603517716E-005) (-4.90654596620087517E-006,-5.13843249393008028E-004) ( 8.70459580387497878E-002, 0.24378876806951766     ) ( 1.01191328917533043E-002, 2.03207277409987661E-002)
 (-1.27816596221431728E-002,-4.00006566585371127E-003) ( 9.82279302122337095E-004, 6.97766925280303169E-004) ( 2.38813172304596852E-006,-1.01071111054857905E-005) (-9.36324148112467267E-006,-1.01350508937658561E-006) (-6.90421298382321719E-002,-2.13243049322233806E-002) ( 1.06576339909694347E-002,-8.67361737988403547E-019) ( 2.11501345759143437E-004,-6.24503886410254869E-004) ( 1.72871503040204766E-004, 4.56810451545022062E-005) (-0.10619762128303989     ,-0.46469425746393817     ) (-0.71673239027923386     ,-0.43131632792936719     ) (-1.47374510607634708E-004, 4.71650342592899903E-004) (-1.06517554949447923E-005, 1.92768082553063623E-005) (-4.90654596405209234E-006, 5.13843249391677387E-004) (-1.72367231481711030E-006,-4.08019863634295234E-005) ( 1.01191328917540901E-002,-2.03207277409994148E-002) (-8.70459580387557275E-002, 0.24378876806952543     )
 ( 3.19222772461351813E-006, 2.14935003207230413E-006) (-4.47609585968455903E-006,-1.44805836317755954E-005) ( 7.93060487130457445E-004,-8.29028246069395125E-003) ( 4.88357014959710234E-003,-2.56523902645168153E-003) (-1.72871503036941751E-004,-4.56810451520397662E-005) ( 2.11501345759118609E-004, 6.24503886410256170E-004) ( 0.19096950917900049     ,-1.38777878078144568E-017) ( 0.67028061122235050     ,-0.16539459458110645     ) ( 3.87151087345879573E-004, 8.63912552144622983E-004) (-2.81997345973796626E-004, 1.17276501724570330E-004) (-7.68385342989323372E-002, 0.10514067351543099     ) (-0.41258131984659951     , 0.12620351202703073     ) (-0.10649934517492944     , 0.15856464721813590     ) (-0.49699384825842841     ,-1.41670070717530659E-002) (-2.76892460142119656E-004, 9.87217900343395627E-005) ( 4.33229203135859081E-005,-6.32103310574208023E-005)
 (-4.47609585974872601E-006, 1.44805836317743655E-005) (-3.19222772447898262E-006, 2.14935003201022212E-006) ( 4.88357014959667213E-003, 2.56523902645160434E-003) (-7.93060487130450506E-004,-8.29028246069358696E-003) ( 2.11501345761507540E-004,-6.24503886411668235E-004) ( 1.72871503040208235E-004,-4.56810451545039409E-005) ( 0.67028061122235061     , 0.16539459458110642     ) (-0.19096950917898631     ,  0.0000000000000000     ) (-2.81997345976527948E-004,-1.17276501729894413E-004) (-3.87151087346592111E-004, 8.63912552140710206E-004) (-0.41258131984657787     ,-0.12620351202702451     ) ( 7.68385342989304082E-002, 0.10514067351542893     ) (-0.49699384825840942     , 1.41670070717511178E-002) ( 0.10649934517492494     , 0.15856464721813010     ) ( 4.33229203150031772E-005, 6.32103310571410781E-005) ( 2.76892460141331767E-004, 9.87217900351784099E-005)
 (-1.09432653952770010E-002,-5.93348428728278018E-003) ( 5.48973231472451575E-004,-6.30943284152335297E-003) ( 8.44751907022244011E-007,-1.14514662605429566E-006) (-4.22310231775348927E-006,-7.55711288759380915E-007) ( 0.71673239027921143     , 0.43131632792934171     ) (-0.10619762128303988     , 0.46469425746393817     ) ( 3.87151087345910527E-004,-8.63912552144630464E-004) (-2.81997345976516835E-004, 1.17276501729897924E-004) ( 9.71445146547012343E-017,-8.64548199139094579E-032) (-6.66133814775093924E-016,-3.33066907387546962E-016) (-2.45781105086783436E-005, 4.71024438413835992E-005) ( 2.93687905547469409E-005, 8.87554321972759088E-007) (-1.38777878078144715E-016,-2.35922392732845863E-016) ( 1.83880688453541552E-016, 1.73472347597682712E-017) (-0.12446106144872031     ,-6.85588158669176058E-003) (-0.12302285764445303     , 0.20536302258804040     )
 ( 5.48973231472463285E-004, 6.30943284152340675E-003) ( 1.09432653952768830E-002,-5.93348428728272467E-003) (-4.22310231776822934E-006, 7.55711288691554222E-007) (-8.44751906919765201E-007,-1.14514662611871294E-006) (-0.10619762128304149     ,-0.46469425746391885     ) (-0.71673239027923374     , 0.43131632792936719     ) (-2.81997345973800638E-004,-1.17276501724558255E-004) (-3.87151087346623987E-004,-8.63912552140725168E-004) (-6.80011602582908381E-016, 3.33066907387546962E-016) (-3.26128013483639734E-016,-2.68403197423386087E-033) ( 2.93687905547859214E-005,-8.87554321510625429E-007) ( 2.45781105079060901E-005, 4.71024438416715768E-005) (-5.20417042793042128E-016, 1.52655665885959049E-016) (-8.67361737988401236E-018, 1.73472347597680586E-017) (-0.12302285764445266     ,-0.20536302258804018     ) ( 0.12446106144872048     ,-6.85588158669155501E-003)
