 (-0.99970746228710938     ,  0.0000000000000000     ) ( 3.16588200303215880E-005, 3.42118938069134937E-005) (-6.99750543106669731E-006,-8.28128406954887347E-006) ( 3.36942974178211854E-008,-9.44734353984857944E-009) ( 2.56339770068718387E-006, 3.51698728761479229E-006) (-3.45151936951768046E-006, 1.25208186264880172E-006) ( 4.17834974462163219E-003, 9.75019054232666507E-003) (-3.86331096977209250E-003, 3.80058579844255902E-003) (-2.89904720454110115E-005,-3.33467775761476376E-005) (-2.38190983631349218E-005, 7.83742385583596768E-006) ( 1.06324088439880525E-002,-8.89523552557240638E-003) (-1.98617371031680097E-003,-7.62955087174366567E-003) (-5.88092865079475891E-003, 8.90564350080708805E-003) ( 1.36489349663237655E-005,-8.65252635341592913E-003) ( 5.03336390634753772E-007, 4.06061288866013670E-007) ( 4.98264248549834358E-006,-2.99002086459956851E-007)
 ( 3.16588200303215880E-005,-3.42118938069134937E-005) ( 0.99970746223856044     ,  0.0000000000000000     ) ( 3.36942974812165193E-008, 9.44734337111961635E-009) ( 6.99750543168143994E-006,-8.28128406945330105E-006) (-3.45151936931504307E-006,-1.25208186242155295E-006) (-2.56339770048812435E-006, 3.51698728746083558E-006) (-3.86331096981292442E-003,-3.80058579821386869E-003) (-4.17834974417504584E-003, 9.75019054223722273E-003) (-2.38190983628905426E-005,-7.83742385518761478E-006) ( 2.89904720429203823E-005,-3.33467775769818228E-005) (-1.98617370999832395E-003, 7.62955087162823457E-003) (-1.06324088440456731E-002,-8.89523552498041117E-003) ( 1.36489352728526021E-005, 8.65252635320584891E-003) ( 5.88092865096758073E-003, 8.90564350038185355E-003) ( 4.98264248548977839E-006, 2.99002086315324281E-007) (-5.03336390609925542E-007, 4.06061288853436925E-007)
 (-6.99750543106669731E-006, 8.28128406954887347E-006) ( 3.36942974812165193E-008,-9.44734337111961635E-009) ( 0.99956624031625763     ,  0.0000000000000000     ) ( 2.14165201267764004E-004,-5.01620942616862967E-004) ( 1.82204051830469130E-002, 1.30071206847628702E-003) ( 5.75969106232070583E-003,-1.56360449648404419E-002) ( 9.80291844945976789E-007, 7.35769333087442010E-007) ( 4.81762498050035404E-007,-4.44289945022779487E-006) (-1.05430114541394081E-002,-1.67621257608133731E-004) ( 3.27054975560997670E-003,-6.61418445529801668E-003) (-4.23000068426430953E-007,-2.97097448122177026E-007) ( 3.31236902918808675E-005, 1.50456058879361657E-005) ( 1.02565074851018387E-006, 3.58892294570673821E-006) ( 3.52829447045326788E-006, 3.03471117369096682E-006) (-9.26892963391761325E-003, 2.03796729980069242E-003) (-5.70421872053932097E-005, 2.30410776046650022E-005)
 ( 3.36942974178211854E-008, 9.44734353984857944E-009) ( 6.99750543168143994E-006, 8.28128406945330105E-006) ( 2.14165201267764004E-004, 5.01620942616862967E-004) (-0.99956624031627017     ,  0.0000000000000000     ) ( 5.75969106230348870E-003, 1.56360449648375727E-002) (-1.82204051830575399E-002, 1.30071206846023150E-003) ( 4.81762498237385539E-007, 4.44289944999073406E-006) (-9.80291844739598905E-007, 7.35769332975769186E-007) ( 3.27054975561023864E-003, 6.61418445529833240E-003) ( 1.05430114541392311E-002,-1.67621257608172058E-004) ( 3.31236902918353310E-005,-1.50456058876681509E-005) ( 4.23000067983209105E-007,-2.97097448022647266E-007) ( 3.52829447036219490E-006,-3.03471117386357181E-006) (-1.02565074820704094E-006, 3.58892294580366589E-006) (-5.70421872055516116E-005,-2.30410776045093108E-005) ( 9.26892963391715702E-003, 2.03796729980239028E-003)
 ( 2.56339770068718387E-006,-3.51698728761479229E-006) (-3.45151936931504307E-006, 1.25208186242155295E-006) ( 1.82204051830469130E-002,-1.30071206847628702E-003) ( 5.75969106230348870E-003,-1.56360449648375727E-002) (-0.29967751133873022     ,  0.0000000000000000     ) (-0.18413358570260177     , 0.63678259384295921     ) ( 3.24439822716752514E-004, 6.85378294085908779E-005) ( 2.37200775293072708E-005, 2.35055425558666070E-004) ( 0.35875436597648935     ,-3.84158475879735270E-002) ( 0.17643052043721533     ,-0.50246318261671385     ) (-1.48498010594688701E-004,-2.02743740457439481E-003) (-8.57143468746546233E-006,-2.89592884809564133E-005) (-3.70358853900819296E-005,-1.00059538184758476E-004) ( 6.63820440741091922E-006, 4.39763001376658469E-006) ( 0.18868919942899631     ,-5.53815934850417357E-002) ( 7.23360039482645184E-002,-0.11180255403888938     )
 (-3.45151936951768046E-006,-1.25208186264880172E-006) (-2.56339770048812435E-006,-3.51698728746083558E-006) ( 5.75969106232070583E-003, 1.56360449648404419E-002) (-1.82204051830575399E-002,-1.30071206846023150E-003) (-0.18413358570260177     ,-0.63678259384295921     ) ( 0.29967751133903819     ,  0.0000000000000000     ) ( 2.37200775286550147E-005,-2.35055425556072659E-004) (-3.24439822717109000E-004, 6.85378294109639796E-005) ( 0.17643052043777832     , 0.50246318261682477     ) (-0.35875436597669774     ,-3.84158475876588829E-002) (-8.57143468450949353E-006, 2.89592885051453974E-005) ( 1.48498010609759978E-004,-2.02743740457983490E-003) ( 6.63820440816031976E-006,-4.39763001483517435E-006) ( 3.70358853874208638E-005,-1.00059538184857355E-004) ( 7.23360039483879613E-002, 0.11180255403889358     ) (-0.18868919942913318     ,-5.53815934849265015E-002)
 ( 4.17834974462163219E-003,-9.75019054232666507E-003) (-3.86331096981292442E-003, 3.80058579821386869E-003) ( 9.80291844945976789E-007,-7.35769333087442010E-007) ( 4.81762498237385539E-007,-4.44289944999073406E-006) ( 3.24439822716752514E-004,-6.85378294085908779E-005) ( 2.37200775286550147E-005, 2.35055425556072659E-004) (-0.50463857402135137     ,  0.0000000000000000     ) ( 5.37284076902194013E-002, 0.54519470008098692     ) (-1.10610560597844236E-003, 5.42311712881111962E-004) (-1.89032811226598485E-004, 1.33901767445131908E-003) (-0.18218618312029664     ,-0.53704451379179452     ) (-8.13061527725295607E-002, 3.31357678596263111E-002) ( 0.17379312532611244     , 0.21349328535122442     ) (-0.17752376969015868     ,-9.19515015270300218E-002) ( 3.95285970788313012E-005,-3.47243118033677134E-005) ( 3.70314943616903425E-005,-1.03558849729263637E-004)
 (-3.86331096977209250E-003,-3.80058579844255902E-003) (-4.17834974417504584E-003,-9.75019054223722273E-003) ( 4.81762498050035404E-007, 4.44289945022779487E-006) (-9.80291844739598905E-007,-7.35769332975769186E-007) ( 2.37200775293072708E-005,-2.35055425558666070E-004) (-3.24439822717109000E-004,-6.85378294109639796E-005) ( 5.37284076902194013E-002,-0.54519470008098692     ) ( 0.50463857402130097     ,  0.0000000000000000     ) (-1.89032811224523756E-004,-1.33901767445236686E-003) ( 1.10610560599340088E-003, 5.42311712858428718E-004) (-8.13061527725216088E-002,-3.31357678596186228E-002) ( 0.18218618312027263     ,-0.53704451379181084     ) (-0.17752376969015088     , 9.19515015270479796E-002) (-0.17379312532607361     , 0.21349328535121839     ) ( 3.70314943618013648E-005, 1.03558849730268909E-004) (-3.95285970773845419E-005,-3.47243118033052633E-005)
 (-2.89904720454110115E-005, 3.33467775761476376E-005) (-2.38190983628905426E-005, 7.83742385518761478E-006) (-1.05430114541394081E-002, 1.67621257608133731E-004) ( 3.27054975561023864E-003,-6.61418445529833240E-003) ( 0.35875436597648935     , 3.84158475879735270E-002) ( 0.17643052043777832     ,-0.50246318261682477     ) (-1.10610560597844236E-003,-5.42311712881111962E-004) (-1.89032811224523756E-004, 1.33901767445236686E-003) ( 0.47306052724304415     ,  0.0000000000000000     ) ( 0.12213476112815302     ,-0.32330666724820906     ) (-1.85300242856178965E-005,-4.23016620480466503E-004) (-1.36114601086555209E-003,-6.35884131501313066E-004) (-6.21899040304910861E-004,-2.18198568459239579E-003) ( 4.21033607655496578E-004, 2.79334295530536680E-004) ( 0.25494710953291316     ,-4.42840711376304430E-002) ( 0.24683470690106218     ,-0.33901163716106414     )
 (-2.38190983631349218E-005,-7.83742385583596768E-006) ( 2.89904720429203823E-005, 3.33467775769818228E-005) ( 3.27054975560997670E-003, 6.61418445529801668E-003) ( 1.05430114541392311E-002, 1.67621257608172058E-004) ( 0.17643052043721533     , 0.50246318261671385     ) (-0.35875436597669774     , 3.84158475876588829E-002) (-1.89032811226598485E-004,-1.33901767445131908E-003) ( 1.10610560599340088E-003,-5.42311712858428718E-004) ( 0.12213476112815302     , 0.32330666724820906     ) (-0.47306052724301301     ,  0.0000000000000000     ) (-1.36114601085128573E-003, 6.35884131524294682E-004) ( 1.85300242896702105E-005,-4.23016620484896987E-004) ( 4.21033607633895801E-004,-2.79334295544511613E-004) ( 6.21899040322670960E-004,-2.18198568458811970E-003) ( 0.24683470690100109     , 0.33901163716109917     ) (-0.25494710953289473     ,-4.42840711376711188E-002)
