create_directory() failed
epsilon = 1.000000e-04
L point; valley#0, band#0 search start
mu = -5.703746e-02; final fs face# 2052
mu = -5.805746e-02; final fs face# 2154
mu = -5.745746e-02; final fs face# 2142
mu = -5.674346e-02; final fs face# 2032
mu = -5.629276e-02; final fs face# 2038
mu = -5.653766e-02; final fs face# 2040
mu = -5.639360e-02; final fs face# 2046
mu = -5.611396e-02; final fs face# 2056
mu = -5.607684e-02; final fs face# 2078
mu = -5.609701e-02; final fs face# 2064
mu = -5.617276e-02; final fs face# 2052
mu = -5.607103e-02; final fs face# 2088
mu = -5.613817e-02; final fs face# 2064
mu = -5.608514e-02; final fs face# 2068
mu = -5.606072e-02; final fs face# 2048
mu = -5.606411e-02; final fs face# 2056
mu = -5.605746e-02; final fs face# 2028
mu = -5.605974e-02; final fs face# 2022
mu = -5.605518e-02; final fs face# 2040
mu = -5.606211e-02; final fs face# 2038
mu = -5.622217e-02; final fs face# 8378
mu = -5.604390e-02; final fs face# 1996
mu = -5.603808e-02; final fs face# 2006
mu = -5.601792e-02; final fs face# 2006
mu = -5.606696e-02; final fs face# 2106
mu = -5.582216e-02; final fs face# 2006
